title,house,area,address1,address2,price
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,嘉泰北苑...,260
整租|开封黄河大街二十五中对面（马市南街7号）1室1厅1,1室1厅1卫,15,开封,新晋美·悦都...,400
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,蔚蓝加州...,700
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,蓝天·中央花园...,800
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,鼎诚·橡树庄园...,1000
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,郑开橄榄城...,1200
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,省府西街...,1200
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,大宏新城...,1250
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,陇海花园...,1400
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,金祥苑...,1500
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,新芒果·蓝湾国际...,1500
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,内环路...,1600
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,绿都·上河城...,1600
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,嘉泰新城...,1800
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,苹果园北区...,1800
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,金明裕...,1900
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,绿都·上河城...,2000
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,鼎立·国际城...,2280
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,郑开橄榄城...,2600
整租|大润发附近小户型干净拎包即住欢迎入住,1室1厅1卫,15,鼓楼区,蔡屯西街...,3000
单间|毛纺公寓1室1卫男女不限,主卧(1室),16,顺河回族区,锦绣皇城...,1500
整租|西赵屯1室0厅1卫,1室0厅1卫,20,鼓楼区,计生委家属院...,550
单间|开封市金明区五大街1室1卫男女不限,主卧(1室),20,金明区,晋安路蓝天中央公园...,999
单间|金明广场附近西蔡屯单间公寓出租1室1卫男女不限,主卧(1室),20,金明区,绿都·上河城...,1400
单间|文庙小区3室1厅1卫限女生,主卧(3室),20,龙亭区,英伦春天...,1700
单间|鑫宇小区2室1厅1卫限女生,主卧(2室),20,龙亭区,永合丽景...,1700
单间|西郊万宝后1室1卫男女不限,主卧(1室),20,金明,城市花园...,2000
单间|回龙庙新村10排22号1室1卫男女不限,主卧(1室),20,金明区,晋安路蓝天中央公园...,2000
单间|土城中街132号1室1厅1卫，标间，单间，大小价,主卧(1室),24,龙亭区,万丽·铂金瀚宫...,2100
整租|仁和屯仁和路78号1室0厅1卫,1室0厅1卫,25,龙亭区,未来·美好家园...,1200
单间|自建房一间，有院有三相电，住人当仓库或加工均可，男,主卧(1室),25,禹王台区,东京新城...,1600
整租|土城新村五组821室0厅1卫,1室0厅1卫,28,金明区,新河大二十一号家属院...,450
整租|大润发附近精装小户型出租,1室1厅1卫,30,鼓楼区,瑞安花园...,500
单间|朱雀苑3室2厅1卫男女不限,主卧(3室),30,鼓楼区,安联·青年城...,550
整租|大润发附近精装小户型出租,1室1厅1卫,30,鼓楼区,瑞安花园...,900
整租|大润发附近精装小户型出租,1室1厅1卫,30,鼓楼区,瑞安花园...,1300
整租|大润发附近精装小户型出租,1室1厅1卫,30,鼓楼区,瑞安花园...,1400
整租|大润发附近精装小户型出租,1室1厅1卫,30,鼓楼区,瑞安花园...,1700
单间|土城新房单间出租,主卧(1室),30,金明,龙城香榭里...,1800
单间|润城小浪底精装四室两厅两卫家电家具齐全拎包入住,次卧(4室),30,金明,武警花园...,1800
整租|油坊街小独院.两间北屋.另有一间厨房.大约30平方.,1室1厅1卫,30,鼓楼区,西湖翠庭...,2300
整租|大润发附近精装小户型出租,1室1厅1卫,30,鼓楼区,瑞安花园...,2500
整租|可短租金明广场附近一室一厅拎包入住,1室1厅1卫,35,金明,金鼎丽都...,600
单间|聚英苑2室1厅1卫限女生急寻合租妹子一枚，本人,主卧(2室),35,金明区,安联·青年城...,1000
整租|温馨精装，拎包入住，，生活便利，交通方便，户型方正,1室1厅1卫,35,金明区,绿都·上河城...,1300
整租|东京银座小公寓，长期出租，欢迎联系！~随时看房,1室0厅1卫,35,鼓楼区,金鼎丽都...,1700
整租|建设南路与福星大道交叉口1室1厅1卫,1室1厅1卫,36,尉氏县,万丽·铂金瀚宫...,1600
整租|让您充分享受小资生活，快于我联系吧。,1室1厅1卫,38,鼓楼,郑开·森林半岛...,2300
单间|公寓房临黄河路办公使用空房子,主卧(1室),39,金明区,郑开橄榄城...,850
整租|马市街四街141号1室1厅1卫,1室1厅1卫,40,龙亭区,东方今典...,450
整租|一楼带院干净整洁生活便利,1室1厅1卫,40,顺河回族区,安联·青年城...,500
整租|枫庭苑1室0厅1卫,1室0厅1卫,40,金明,郑开·森林半岛...,600
整租|汴京公园对面干净整洁拎包即住,1室1厅1卫,40,顺河回族区,中山路北段...,600
整租|枫亭苑1室0厅1卫,1室0厅1卫,40,金明,十一化建生活区...,800
整租|河大附近2室0厅0卫,2室0厅0卫,40,顺河回族区,金鼎丽都...,800
整租|拎包入住，楼层方便，价格比较不错,1室1厅1卫,40,鼓楼区,郑开橄榄城...,999
整租|市中心大润发附近瑞安花园。精装修公寓房，干净。家具家,1室1厅1卫,40,鼓楼,亿乘·帝湖世家...,1100
整租|正经单独厨房，双水双气，精装，随时看房，家具家电齐全,1室1厅1卫,40,金明区,森林半岛一期...,1500
整租|汉兴路上汉兴上品，精装小公寓，拎包入住。,1室0厅1卫,40,金明区,开元华庭...,1600
整租|汉兴上品，单身公寓出租。,1室1厅1卫,40,金明区,安联青年城...,1600
整租|幸福里精装1室0厅1卫家电齐全拎包入住,1室0厅1卫,40,金明区,仁和苑...,1800
整租|大梁门公寓房精装一室,1室1厅1卫,40,金明区,宋城雅居·尚品...,1800
整租|五一路南段法院对面一室一厅出租,1室1厅1卫,40,禹王台区,长金·贵和世嘉...,2000
整租|世宇·银翰苑1室1厅1卫,1室1厅1卫,40,顺河,鼎立A区...,2200
整租|蝶御花园1室1厅42平米精装修押一付一,1室1厅1卫,42,金明,长金·贵和世嘉...,800
整租|家具家电齐全，拎包入住。,1室1厅1卫,42,龙亭区,首座时代...,900
整租|鼎力国际城一室一厅精装修拎包入住,1室1厅1卫,43,金明区,枫亭苑...,1000
单间|野场新村一室一厅新装修,主卧(1室),44,金明区,园林小区...,1900
整租|幸福里精装1室1厅1卫家具家电齐全拎包入住包含,1室0厅1卫,45,龙亭区,嘉泰新城...,450
整租|野场新村1室1厅1卫精装出租,1室1厅1卫,45,金明区,蝶御花园...,750
