titles,authors,nums,peoples
激荡三十年（上）,吴晓波/中信出版社浙江人民出版社/2007-1/35.00,8.8,21320
腾讯传,吴晓波/浙江大学出版社/2017-1-1/58.00元,7.8,7807
激荡三十年（下）,吴晓波/中信出版社浙江人民出版社/2008-1/42.00,8.9,14932
大败局,吴晓波/浙江人民出版社/2001-01/29.00元,8.3,9932
跌荡一百年（下）,吴晓波/中信出版社/2009-9/42.00元,8.6,4161
光变,路风/当代中国出版社/2016-3/79.00元,9.1,203
跌荡一百年（上）,吴晓波/中信出版社/2009-1/42.00,8.6,3840
看得见的手,小艾尔弗雷德·D.钱德勒/重武/商务印书馆/1987-09/26.00元,9,136
规模与范围,[美]小艾尔弗雷德·钱德勒、[日]引野隆志协助/张逸人等/华夏出版社/2006-1/69.00元,8.7,57
下一个倒下的会不会是华为,田涛、吴春波/中信出版社/2012-11/48.00元,6.8,796
联想风云,凌志军/中信出版社/2005-01/29.80元,7.5,930
汽车和我,(德)费迪南德·皮耶希/任卫东/上海远东出版社/2009-5/38.00元,8.1,76
华为的世界,吴建国、冀勇庆/中信出版社/2006-11/35.00元,7.5,492
艰难的辉煌,王伟群/中信出版社/2010-9/60.00元,8.3,113
塞氏企业传奇,里卡多·塞姆勒(RicardoSemler)/师冬平、欧阳韬/中国人民大学出版社/2007-6/39.80元,8.3,76
迪斯尼战争,詹姆斯·B·斯图尔特/中信出版社/2006-1/42.00元,8.1,142
中国的大企业,(美)高家龙/商务印书馆/2001-7/22.00元,8,48
现代资本主义,(美)托马斯·K·麦克劳/赵文书、肖锁章/江苏人民出版社/1999-05/40.00元,9.1,46
绩效致死,（美）鲍勃•卢茨/张科/中信出版社/2013-8-30/45.00,7.1,142
我在大众汽车40年,卡尔·H·哈恩/朱刘华/上海远东出版社/2008.1/36.00元,7.6,31
非常营销：娃哈哈--中国成功的实战教案,吴晓波、胡宏伟/浙江人民出版社/2002-09/25.00,7.3,125
解构德隆,唐立久/浙江人民出版社/2011-11/33.0,7.2,142
希望永行,郑作时/中信出版社/2007/36.00元,8.8,51
华为真相,程东升/当代中国出版社/2003-12/35.00,6.8,464
蒙牛内幕,张治国/北京大学出版社/2006-8/49.00元,6.9,866
鹰的重生,蓝狮子著吴晓波审定/中信出版社/2012-1/50.00元,8.3,48
日本商业四百年,陈伟/京华出版社/2011-4/34.80元,7,505
民国商人,傅国涌/中国友谊出版公司/2016-8-1/CNY45.00,8.2,28
这就是宜家,[瑞典]安德斯·代尔维格/彭晶/中华工商联合出版社/2015-9-1/40,6.5,54
日本商业四百年2,陈伟/京华出版社/2012-5/34.80元,7.6,98
家得宝传奇,王真铃/2008-5/39.00元,8.1,28
管理的历史与现状,小阿尔弗雷德·D.钱德勒/郭斌/东北财经/2007-1/60.00元,8.5,15
中国的新革命－1980－2006年，从中关村到中国社会,凌志军/湖北人民出版社/2008-7/47.00元,7.9,33
美国小企业史,曼塞尔·布莱克福德/刘鹰、何国卿/浙江大学出版社/2013-11/43.00,7,10
梦想金山,许晓辉、刘峰、魏雪峰/中信出版社/2008.5/42.00元,8.5,108
福特传,彼得·科利尔戴维·霍洛维茨/于海生/2008-9/49.00元,8.1,34
The Facebook Effect,DavidKirkpatrick/Simon&Schuster/2011-2-1/USD16.00,7.8,46
再造宏碁,施振荣/中信出版社/2005-5/33.00元,7.4,81
四国演义,查尔斯·R.莫里斯/李宏强/国际文化/2006-12/35.00元,7.1,30
革命与生意,吴比/浙江大学出版社/2011-6/36.00元,7.1,92
索尼源流,(日)索尼株式会社传媒中心/华夏出版社/1999-09/27.60元,8.1,34
制药世家默克,弗兰・霍桑/弗兰·霍桑/高等教育出版社/2004-4-1/29.00,7.4,10
沉浮,凌志军/湖北人民出版社/2008-7/47.00元,7.8,70
联想局(一家领袖企业的中国智慧),迟宇宙/中国广播电视出版社/2005-04/29.80,6.5,70
怡和洋行,勒费窝(EdwardLeFevour)/陈曾年、乐嘉书/上海社会科学院出版社/1986/1.30元,7.4,10
不一样的25年,陈斯文/浙江大学出版社/2013-6-1/45.00,7.6,35
背水一战,李利明/中信出版社/2008-7/35.00元,6.9,46
沃尔玛王朝,（美）罗伯特・斯莱特/黄秀媛/中信出版社/2004-08/26.00,7.5,72
谁搞垮了美国汽车业,保罗·英格拉西亚/粟志敏/中国人民大学/2010-5/49.80元,6.8,16
