titles,authors,nums,peoples
创业维艰,本·霍洛维茨BenHorowitz/杨晓红、钟莉婷/中信出版社/2015-2/49,8.4,5898
黑客与画家,[美]PaulGraham/阮一峰/人民邮电出版社/2011-4/49.00元,8.8,14849
精益创业,[美]埃里克·莱斯/吴彤/中信出版社/2012-8/49.00元,8.4,3601
从0到1,彼得·蒂尔、布莱克·马斯特斯/高玉芳/中信出版股份有限公司/2015-1-1/CNY45.00,7.6,17851
创新者的窘境,克莱顿•克里斯坦森(ClaytonM.Christensen)/胡建桥/中信出版社/2010-6/38.00元,8.5,1855
鞋狗,[美]菲尔·奈特/毛大庆/北京联合出版公司/2016-9-1/89.90元,8.4,2392
MBA教不了的创富课,老雕/当代中国出版社/2011-1-1/28.00元,8.4,3760
重来,[美]贾森·弗里德、[丹]戴维·海涅迈尔·汉森/李瑜偲/中信出版社/2010-10/36.00元,8.3,6354
硅谷钢铁侠,[美]阿什利·万斯/周恒星/中信出版集团/2016-4/68.00元,8.1,4437
街头生意经,（美）布罗茨基，（美）博林翰/李瑜偲/中信出版社/2010-1/29.00元,8.6,1304
商业模式新生代,亚历山大•奥斯特瓦德(AlexanderOsterwalder)、伊夫•皮尼厄(YvesPigneur)/王帅、毛心宇、严威/机械工业出版社/2011-8-15/88.00元,8.3,1952
重新定义公司,[美]埃里克·施密特/靳婷婷、陈序、何晔/中信出版社/2015-8/49.00,8.2,4454
增长黑客,范冰/电子工业出版社/2015-7-1/CNY59.00,7.8,2418
创新公司,[美]艾德·卡特姆、埃米·华莱士/靳婷婷/中信出版社/2015-2/49.00元,8.6,734
精益创业实战,AshMaurya/张玳/图灵文化发展有限公司/2013-1/39.00元,8.8,577
四步创业法,[美]StevenGaryBlank/七印部落/华中科技大学出版社/2012-8-1/48.00,8.7,764
创新与企业家精神,彼得·德鲁克/蔡文燕/机械工业出版社/2007-1/38.00元,9,608
三双鞋,[美]谢家华/[美]谢传刚/中华工商联合出版社/2011-1/32.90元,8.3,2419
创新者的解答,（美）克里斯坦森、迈克尔•雷纳/林伟、李瑜偲、郑欢/中信出版社/2010-6-1/38.00元,8.8,450
腾讯传,吴晓波/浙江大学出版社/2017-1-1/58.00元,7.8,7807
支付战争,埃里克•杰克逊/徐彬、王晓、清华大学五道口金融学院未央研究审译/中信出版社/2015-5-19/49.00,8.1,1484
让大象飞,[美]史蒂文·霍夫曼/周海云、陈耿宣/中信出版社/2017-3/69.00,7.8,277
将心注入,[美]霍华德·舒尔茨、[美]多利·琼斯·扬/文敏/浙江人民出版社/2010-03/25.00,8.3,1873
Facebook效应,[美]大卫·柯克帕特里克/沈路、梁军、崔筝/华文出版社/2010-10/49.80,7.9,4639
成为乔布斯,[美]布伦特·施兰德、[美]里克·特策利/陶亮/中信出版集团/2016-10/69.00元,8.9,1070
创新者,[美]沃尔特·艾萨克森/关嘉伟、牛小婧/中信出版社/2017-4/88.00元,8.6,231
给创业小白的财报书,[美]道恩·福图普鲁斯/曾琳/江西人民出版社·后浪出版公司/2016-10/39.80,9,97
投资异类,王利杰/北京联合出版公司/2017-6-1/59.90,8.2,233
你凭什么做好互联网,曹政/中国友谊出版公司/2016-12/42.00元,8.1,544
Getting Real,JasonFried、HeinemeierDavidHansson、MatthewLinderman/37signals/2009-11-18/USD24.99,9.1,917
斜杠创业家,[美]金伯莉·帕尔默/谈申申、孙思栋/后浪丨江西人民出版社/2017-8/42.00元,7.5,270
The Millionaire Fastlane,"DeMarco,MJ/ViperionPublishing/2011-12-4/USD22.95",8.7,192
小米生态链战地笔记,小米生态链谷仓学院/中信出版集团/2017-5/56.00,8.1,571
创业之初你不可不知的融资知识,桂曙光/机械工业出版社/2010-6-1/48.00元,8.6,415
"创业时, 我们在知乎聊什么?",知乎/中信出版社/2014-1/42.00元,7.4,2096
创业的国度,"""[美]丹•塞诺（DanSenor）、[以]索尔•辛格（SaulSinger）/王跃红、韩君宜/中信出版社/2010/35.00元",7.9,1206
斯坦福大学创业成长课,李笑来/天津人民出版社/2016-4/46.00,8,248
零售的哲学：7-Eleven便利店创始人自述,[日]铃木敏文/顾晓琳/江苏文艺出版社/2014-12-1/36,8.1,3074
独立不羁,【日】天毛伸一/邓超/文化发展出版社/2017-6-1/48,8,33
九败一胜,李志刚/北京联合出版公司/2014-9-1/42.00元,7.9,1235
精益数据分析,[加]阿利斯泰尔·克罗尔、[加]本杰明·尤科维奇/韩知白、王鹤达/人民邮电出版社/2014-12/79.00元,8.2,474
指数型组织,萨利姆•伊斯梅尔(SalimIsmail)、迈克尔•马隆(MichaelS.Malone)、尤里•范吉斯特(YurivanGeest)/苏健/浙江人民出版社/2015-8-1/CNY69.90,7.7,256
创业36条军规,孙陶然/中信出版社/2011-12/39.00元,8,1262
创业者手册,[美]史蒂夫·布兰克、[美]鲍勃·多夫/新华都商学院/机械工业出版社/2013-1/89.00元,8.2,181
认识商业,[美]威廉·尼科尔斯、[美]詹姆斯·麦克修、[美]苏珊·麦克修/陈智凯、黄启瑞/世界图书出版公司/2009-10/68.00元,8.3,845
创京东,李志刚/中信出版社/2015-5-1/CNY49.80,7.1,1714
联盟,里德•霍夫曼、本•卡斯诺查、克里斯•叶/路蒙佳/中信出版社/2015-2-5/39.00元,7.4,1380
民企江湖,阿耐/河南文艺出版社/2013-4/29.90元,8.8,665
餐巾纸上的创业课,神田昌典/蔡昭仪/重庆出版社/2009-12/26.80元,8.3,696
共享经济没有告诉你的事,[加]汤姆·斯利（TomSlee）/涂颀/后浪丨江西人民出版社/2017-3/38.00元,8.3,124
就想开间自己的小店,夏小暖/北京时代华文书局/2014-7-1/CNY36.00,6.9,585
离经叛道,亚当·格兰特、AdamGrant/王璐/浙江大学出版社/2016-7-1/49.00,7.7,439
師父-那些我在課堂外學會的本事,"Brodsky,Norm、Burlingham,Bo/林茂昌/早安財經文化有限公司/2009/10/02/140.00元",9.2,48
三位一体,[美]迈克尔·马隆/黄亚昌/浙江人民出版社/2015-4/98.90,9,63
创业，生与死,[日]板仓雄一郎/黄悦生/北京联合出版公司·后浪出版公司/2015-5/39.80元,7.9,131
胜利的法则,[日]铃木博毅/邓一多/后浪丨江西人民出版社/2017-5/45.00元,7.6,31
In The Plex,StevenLevy/Simon&Schuster/2011-4-12/USD29.95,8.8,355
在对的时间做对的事,俞敏洪/中信出版集团/2017-1-1/38.00元,7.6,228
裂变式创业,宗毅、小泽/机械工业出版社/2016-1-1/39.84,7.9,249
巴慕达,[日]守山久子/张惠佳/电子工业出版社/2017-6-1/69.00,8.1,41
创客,克里斯·安德森/萧潇/中信出版社/2012-12/45.00元,7.6,900
打造Facebook,王淮、祝文让/印刷工业出版社/2013-2-1/39.80元,7.5,2174
富爸爸(辞职创业前的10堂课)/富爸爸系列丛书,罗伯特·T·清崎莎伦·L·莱希特/电子工业出版社/2006-1/26.00元,8.2,870
至关重要的关系,里德·霍夫曼、本·卡斯诺瓦/钱峰/北京联合出版公司/2013-5/39.80,7.8,748
创业无畏,彼得·戴曼迪斯、史蒂芬·科特勒/贾拥民/浙江人民出版社/2015-8/69.90元,8,149
风险投资交易,[美]布拉德·菲尔德、[美]杰森·门德尔松/桂曙光/机械工业出版社/2014-8/49.00元,9.2,69
周鸿祎自述,周鸿祎/中信出版社/2014-8/45.00元,7.6,4249
单点突破,张本伟、赵鑫、杨琰华/中信出版社/2016-8-20/48.00,8.8,127
商业的常识,申音/山西经济出版社/2011-7-1/35.00元,7.6,1100
进化式运营：从互联网菜鸟到绝顶高手,李少加/电子工业出版社/2016-11/59,8.1,138
登高四书,李善友、龚焱/机械工业出版社/2015-1/138.00,8.2,185
与全世界做生意,柯纳·伍德曼、ConorWoodman/闾佳/机械工业出版社/2010-10/32.00元,7.9,671
Founders at Work,JessicaLivingston/Apress/2007-01-22/USD25.99,8.7,256
盈利的艺术,〔美〕亚德里安·斯莱沃斯基/蒋丹芸/译言·东西文库／电子工业出版社/2017-4-1/68元,8.5,20
有的放矢,NathanFurr、PaulAhlstrom/七印部落/华中科技大学出版社/2014-4-20/38.00元,8.4,141
见花则喜：开一间有美有爱的解忧花店,孟昭然/中国友谊出版公司/2017-6/46.80,8.1,64
柔道战略,大卫B.尤费/孙海龙、傅燕凌/机械工业出版社/2003-1/22.00元,8,188
全中国最穷的小伙子发财日记,重庆老康/上海锦绣文章出版社/2010-04/22.00,7.6,1888
全球风口：积木式创新与中国新机遇,王煜全、薛兆丰/浙江人民出版社/2016-1-1/CNY62.90,7.8,206
孵化Twitter,[美]尼克·比尔顿(NickBilton)/欧常智、张宇、单旖/浙江人民出版社/2014-1/49.90元,7.6,459
阿里巴巴,邓肯·克拉克(DuncanClark)/中信出版社/2016-8-22/CNY58.00,7.7,140
《10%创业家》,[美]帕特里克•J.麦金尼斯/李文远/广东人民出版社/2017-4/45.00,7.7,36
微商创业者手册,凌教头/机械工业出版社/2015-1-1/CNY59.00,7.2,94
创业清单,【美】戴维•罗斯（DavidRose）/桂曙光、魏亦萌/中国人民大学出版社/2017-6/45.00元,7.6,34
创业小败局,创业家、i黑马/时代华文书局/2014-8-1/42.00元,7.4,648
刘强东自述,刘强东/中信出版集团/2016-6-1/49.00,7.8,207
一胜九败,柳井正/徐静波/中信出版社/2011-1-19/28.00元,7.4,933
硅谷热,埃弗雷特.M.罗杰斯/范国鹰等/1985.8/经济科学出版社/1.9,8.3,82
精益招聘,张儆/人民邮电出版社/2015-7/49.00元,8.2,88
孵化皮克斯,[美]劳伦斯·利维（LawrenceLevy）/李文远/浙江大学出版社/蓝狮子/2017-4/49.00元,8.9,243
商业模式全史,[日]三谷宏治/马云雷、杜君林/江苏凤凰文艺出版社/2016-1/42.00元,6.9,319
合伙人,【阿】费洛迪（ClaudioFernández-Aráoz）/高玉芳译、谢非校译/中信出版社/2015-7-16/45.00元,7.4,190
奇点系列,彼得•蒂尔、里德•霍夫曼、本•霍洛维茨、埃里克•杰克逊等/高玉芳、路蒙佳、杨晓红、徐彬等/中信出版社/2015-6-20/182.00,7.9,47
参与感,黎万强/中信出版社/2014-8/56.00元,7.5,7429
新企业的起源与演进,阿玛尔·毕海德/魏如山/中国人民大学出版社/2004-5/48.00元,8.9,91
惠普之道：美国合伙人的创业思维,戴维•帕卡德/周钱、刘勇军/重庆出版社/2016-4/39.80,8.2,30
创业就是要细分垄断,李开复、汪华、傅盛/文化发展出版社/2017-5-1/CNY45.00,8.2,136
YC创业营: 硅谷顶级创业孵化器如何改变世界,兰德尔·斯特罗斯(RandallStross)/苏健/浙江人民出版社/2014-8-1/CNY52.90,7.7,231
颠覆式创新：移动互联网时代的生存法则,李善友/机械工业出版社/2014-12-1/69,7.8,309
跨越鸿沟,[美]杰弗里·摩尔(GeoffreyA.Moore)/赵娅/机械工业出版社/2009-1/36.00元,8.4,415
20个月赚130亿,陈士骏、张黎明/中国华侨出版社/2011-11-17/35.00元,7.7,1089
伏牛传,张天一/机械工业出版社/2016-5/39.00元,7.5,160
互联网+秋叶课堂：我的网课创业,秋叶/北京：机械工业出版社/2016-3-1/39.0,8.8,70
二三十岁，开间幸福小店,梁龙蜀/安徽人民出版社/2013-4/32.00元,7.2,338
给你一个亿,查立/电子工业出版社/2010年04月/32.80元,7.6,985
最糟也最棒的书店,[日]松浦弥太郎/江明玉/山东人民出版社/2011-1/25.00元,7.6,960
轻公司,李黎、杜晨/中信出版社/2009-7/39.00元,7.6,870
开间自己的小店，过自己想过的生活,（日）田川美由/周志燕/北京时代华文书局有限公司/2015-4-1/38,7.6,98
28岁赚千万,穷富弹指间/东方出版社/2013-7/36.00,6.9,116
硅谷之火,迈克尔·斯韦因/王建华/机械工业出版社/2001-1-1/34.00,7.9,105
格力能赢的40堂创业课,李楚楚/北京时代华文书局/2017-3/36,8,14
创新者的基因,克莱顿·克里斯坦森/曾佳宁/中信出版社/2013-3-2/49.00元,7.4,312
我把一切告诉你1,万里依然/中信出版社/2012-1-1/29.00元,7.2,416
风险投资交易,（美）布拉德·菲尔德、（美）杰森·门德尔松/金多多/机械工业出版社/2012-9/52.00元,9,54
理解未来的7个原则,[美]丹尼尔·伯勒斯（DanielBurrus）、约翰·戴维·曼（JohnDavidMann）/金丽鑫/后浪出版公司·江西人民出版社/2016-7/68.00元,8.2,501
有种生活风格，叫小镇,何培钧/译林出版社/2017-5/49.00,8.5,28
解密无印良品,[日]松井忠三/吕灵芝/新星出版社/2015-4/36.00元,7.4,612
从0到ZARA,［西］哈维尔·R.布兰科、［西］赫苏斯·萨尔加多/国际文化出版公司/2017-2-1/72.80元,6.7,27
重来2,[美]贾森·弗里德、[美]戴维·海涅迈尔·汉森/苏西/中信出版社/2014-4-8/39.00元,7.3,550
"""乐贸""外贸大咖系列",华超、刘裕(外贸老A)、张劲松、JAC/中国海关出版社/2016-5-1/CNY175.00,8.3,112
创新者的方法,[美]NathanFurr、[美]JeffDyer/陈召强、刘会/中信出版社/2016-9-1/49.00,7.4,91
创业成功的秘诀,姜博仁/当代中国出版社/2009-10/22.80元,7.7,186
