titles,authors,nums,peoples
浪潮之巅,吴军/电子工业出版社/2011-8/55.00元,9.1,18904
创业维艰,本·霍洛维茨BenHorowitz/杨晓红、钟莉婷/中信出版社/2015-2/49,8.4,5898
哈佛商学院谈判课,[美]迪帕克·马哈拉/李欣/湖南文艺出版社/2017-6/38.00元,7.5,270
激荡三十年（上）,吴晓波/中信出版社浙江人民出版社/2007-1/35.00,8.8,21320
智能时代,吴军/中信出版集团/2016-8/68.00,8.5,3733
精益创业,[美]埃里克·莱斯/吴彤/中信出版社/2012-8/49.00元,8.4,3601
从0到1,彼得·蒂尔、布莱克·马斯特斯/高玉芳/中信出版股份有限公司/2015-1-1/CNY45.00,7.6,17851
认识商业,[美]威廉·尼科尔斯、[美]詹姆斯·麦克修、[美]苏珊·麦克修/陈智凯、黄启瑞/世界图书出版公司/2009-10/68.00元,8.3,845
定位,[美]艾·里斯、杰克·特劳特/王恩冕等/中国财政经济出版社/2002-2/39.80元,8.3,6237
重新定义公司,[美]埃里克·施密特/靳婷婷、陈序、何晔/中信出版社/2015-8/49.00,8.2,4454
创新者的窘境,克莱顿•克里斯坦森(ClaytonM.Christensen)/胡建桥/中信出版社/2010-6/38.00元,8.5,1855
腾讯传,吴晓波/浙江大学出版社/2017-1-1/58.00元,7.8,7807
优势谈判,"罗杰•道森(RogerDawson)/重庆出版集团,重庆出版社/2008-3-1/38.00元",8.7,2696
鞋狗,[美]菲尔·奈特/毛大庆/北京联合出版公司/2016-9-1/89.90元,8.4,2392
大败局,吴晓波/浙江人民出版社/2001-01/29.00元,8.3,9932
影响力,[美]罗伯特·西奥迪尼/陈叙/中国人民大学出版社/2006-5/45.00元,8.6,26052
硅谷钢铁侠,[美]阿什利·万斯/周恒星/中信出版集团/2016-4/68.00元,8.1,4437
MBA教不了的创富课,老雕/当代中国出版社/2011-1-1/28.00元,8.4,3760
激荡三十年（下）,吴晓波/中信出版社浙江人民出版社/2008-1/42.00,8.9,14932
成为乔布斯,[美]布伦特·施兰德、[美]里克·特策利/陶亮/中信出版集团/2016-10/69.00元,8.9,1069
商业模式新生代,亚历山大•奥斯特瓦德(AlexanderOsterwalder)、伊夫•皮尼厄(YvesPigneur)/王帅、毛心宇、严威/机械工业出版社/2011-8-15/88.00元,8.3,1952
重来,[美]贾森·弗里德、[丹]戴维·海涅迈尔·汉森/李瑜偲/中信出版社/2010-10/36.00元,8.3,6354
野蛮生长,冯仑/中信出版社/2007-12/39.00元,8.3,8990
卓有成效的管理者,[美]彼得·德鲁克/许是祥/机械工业出版社/2005-6/28.00元,8.8,9524
营销管理,[美]菲利普·科特勒、[美]凯文·莱恩·凯勒/梅清豪/上海人民出版社/2006-9/78.00元,9,1673
赢,（美）杰克•韦尔奇，苏茜•韦尔奇/余江/中信出版社/2005-5/35.00元,8.2,6215
门口的野蛮人,布赖恩·伯勒、约翰·希利亚尔/张振华/机械工业出版社/2010-9/52.00元,8.2,1677
引爆点,[美]马尔科姆·格拉德威尔/钱清、覃爱冬/中信出版社/2009-8/27.00元,7.7,6036
理解未来的7个原则,[美]丹尼尔·伯勒斯（DanielBurrus）、约翰·戴维·曼（JohnDavidMann）/金丽鑫/后浪出版公司·江西人民出版社/2016-7/68.00元,8.2,501
零售的哲学：7-Eleven便利店创始人自述,[日]铃木敏文/顾晓琳/江苏文艺出版社/2014-12-1/36,8.1,3074
谈判是什么,(英)盖温.肯尼迪/陈述/中国宇航出版社/2004-10-1/29.00,8.6,893
长尾理论,[美]克里斯·安德森/乔江涛/中信出版社/2006-12/35.00元,7.7,11136
畅销的原理,[爱尔兰]马修·威尔科克斯（MatthewWillcox）/包云波/北京联合出版公司·后浪出版公司/2016-12/45.00元,8.1,266
无价,[美]威廉·庞德斯通/闾佳/华文出版社/2011-1/49.80元,8,2849
街头生意经,（美）布罗茨基，（美）博林翰/李瑜偲/中信出版社/2010-1/29.00元,8.6,1304
民企江湖,阿耐/河南文艺出版社/2013-4/29.90元,8.8,665
基业长青,[美]詹姆斯·柯林斯、[美]杰里·波勒斯/真如/中信出版社/2006-9/39.00元,8.2,3848
上瘾,[美]尼尔·埃亚尔、[美]瑞安·胡佛/钟莉婷、杨晓红/中信出版集团/2017-5/49.00元,7.5,840
创新公司,[美]艾德·卡特姆、埃米·华莱士/靳婷婷/中信出版社/2015-2/49.00元,8.6,734
硅谷之谜,吴军/人民邮电出版社/2015-12-1/59.00,8.5,1295
跌荡一百年（下）,吴晓波/中信出版社/2009-9/42.00元,8.6,4161
创新者,[美]沃尔特·艾萨克森/关嘉伟、牛小婧/中信出版社/2017-4/88.00元,8.6,231
增长黑客,范冰/电子工业出版社/2015-7-1/CNY59.00,7.8,2418
洛克菲勒留给儿子的38封信,约翰·D·洛克菲勒(JohnDavisonRockefeller)/严硕/中国妇女出版社/2004-7/29.80,8.7,2429
从优秀到卓越,[美]吉姆·柯林斯/俞利军/中信出版社/2006-7/39.00元,8,4399
精益数据分析,[加]阿利斯泰尔·克罗尔、[加]本杰明·尤科维奇/韩知白、王鹤达/人民邮电出版社/2014-12/79.00元,8.2,474
精益创业实战,AshMaurya/张玳/图灵文化发展有限公司/2013-1/39.00元,8.8,577
商业的本质,[美]杰克·韦尔奇、[美]苏茜·韦尔奇/蒋宗强/中信出版社/2016-4-6/49.00元,7.5,1173
目标,艾利·高德拉特、杰夫·科克斯/齐若兰/电子工业出版社/2006.1/48.0,8.7,1501
品牌洗脑,[美]马丁·林斯特龙/赵萌萌/中信出版社/2013-1/45.00元,7.9,2340
四步创业法,[美]StevenGaryBlank/七印部落/华中科技大学出版社/2012-8-1/48.00,8.7,764
重新定义团队：谷歌如何工作,拉兹洛·博克/宋伟/中信出版集团/2015-12-1/CNY56.00,8.3,1030
创新与企业家精神,彼得·德鲁克/蔡文燕/机械工业出版社/2007-1/38.00元,9,608
光变,路风/当代中国出版社/2016-3/79.00元,9.1,203
