titles,authors,nums,peoples
一个广告人的自白,（美）奥格威/林桦/中国物价出版社/2003-7-1/29.80,8.4,6218
The Copy Book 全球32位顶尖广告文案的写作之道,英国D&AD协会/赖治怡/滚石文化股份有限公司/1997.12/新台币1800,8.6,737
文案创作完全手册,罗伯特•布莱(RobertW.Bly)/刘怡女、袁婧/北京联合出版公司/2013-9-1/CNY45.00,7.8,880
计算广告,刘鹏、王超/人民邮电出版社/2015-9-1/69.00元,8.6,579
文案圣经,[美]克劳德•霍普金斯/姚静/中国友谊出版公司/2017-5/48,7.7,247
十四堂人生创意课,李欣频/电子工业出版社/2008-1/26.00,8.1,13689
Neil French,NeilFrench/100PAGESPRESS/2004/120,9.1,258
超级符号就是超级创意,华杉、华楠/天津人民出版社/2014-1/46.00,8.4,1046
广告文案训练手册,[美]布鲁斯·本丁格尔/谢千帆/中国传媒大学出版社/2008-5出版/158,8.5,332
文案发烧,路克・苏立文、徐凤兰/徐凤兰/中国财政经济出版社/2004-8-1/39.80元,8,962
文案训练手册,[美]约瑟夫·休格曼/杨紫苏、张晓丽/中信出版社/2011-8/48.00元,7.8,1060
定位,[美]艾·里斯、杰克·特劳特/王恩冕等/中国财政经济出版社/2002-2/39.80元,8.3,6237
奥格威谈广告,大卫・奥格威/曾晶/机械工业出版社/2003-6-1/98.00,8.4,747
麦肯锡教我的写作武器,[日]高杉尚孝/郑舜珑/北京联合出版公司·后浪出版公司/2013-7/32.00元,7.7,1249
创意,（美）詹姆斯·韦伯·扬/李旭大/中国海关出版社/2004-10/24.00元,8.2,495
我的广告生涯&科学的广告,克劳德·霍普金斯/邱凯生/中国人民大学出版社/2008-4/45.00元,8.5,773
蔚蓝诡计,（美）乔治·路易斯（GeorgeLois）、（美）比尔·匹兹（BillPitts）/刘家驯/海南出版社/1996-11-01/15.80元,8.2,734
创意的生成,[美]詹姆斯·韦伯·扬/祝士伟/中国人民大学出版社/2014-2-1/19.9,8.2,195
大量流出,许舜英/广西师范大学出版社/2012-12/98.00元,7.6,683
洞见,[美]菲尔·杜森伯里/宋洁/上海远东出版社/2011-5/32.00元,8.4,369
中兴百货广告作品全集,许舜英/湖南美术出版社/2001-10/138.00元,8.8,292
广告文案,乐剑峰/上海人民美术出版社/2009-6-1/48.00元,8.1,605
诚品副作用,李欣频/电子工业出版社/2007-10/39.80元,7.6,4378
文案觉醒,朱家安/机械工业出版社/2017-1-1/49.00元,6.9,308
我们在为什么样的广告买单,[英]罗伯特·希思/任永欣、郑昊沫/世界图书出版公司/2016-7,8.2,81
乔治·路易斯大创意,[美]乔治·路易斯、[美]比尔·皮茨/何辉/中国人民大学出版社/2008-3/49.80元,8.4,491
我不是一本型录,许舜英/广西师范大学出版社/2012-12/48.00元,7.7,1259
小丰现代汉语广告语法辞典,丰信东/中国青年出版社/2004-9/70,8,317
洞人心弦,菲尔·杜森伯里/宋洁/上海远东/2008-1/35.00元,8.3,385
