titles,authors,nums,peoples
穷查理宝典,[美]彼得·考夫曼(编)/李继宏/上海人民出版社/2010-10-01/88.00,9,5724
聪明的投资者,本杰明·格雷厄姆、BenjaminGraham/王中华、黄一义/人民邮电出版社/2010-8/88.00元,9,3056
富爸爸，穷爸爸,（美）罗伯特・T・清崎、莎伦・L・莱希特/杨君，杨明/世界图书出版公司/2000-09/18.80,8.2,26642
彼得·林奇的成功投资,[美]彼得·林奇、约翰·罗瑟查尔德/刘建位、徐晓杰/机械工业出版社/2007-1/38.00元,8.7,5026
投资中最简单的事,邱国鹭/中国人民大学出版社/2014-10/45.90,8.7,2918
日本蜡烛图技术,（美）史蒂夫.尼森/丁圣元/地震出版社/1998-05-01/60.00元,8.9,3032
投资最重要的事,[美]霍华德·马克斯HowardMarks/李莉、石继志/中信出版社/2012-7/58.00元,8.8,2236
证券分析,本杰明·格雷厄姆、戴维·多德/邱巍/海南出版社/2004-1/60.00元,8.8,1679
手把手教你读财报,唐朝/中国经济出版社/2015-1-1/CNY49.00,8.7,1487
股票作手回忆录,爱德温.李费佛(美)/真如/海南出版社/2008/6/19.80元,8.7,4377
期货市场技术分析,[美]约翰.墨菲/丁圣元/地震出版社/1994-5-1/80.00元,9.1,1895
金融炼金术,[美]乔治·索罗斯/孙忠/等/海南出版社/1999-4/24.80元,8.4,2110
巴菲特致股东的信,(美)巴菲特(Buffett.W.E.)/陈鑫/机械工业出版社/2004-01/38.00元,8.2,2055
价值评估,蒂姆·科勒/高建、魏平、朱晓龙等/电子工业出版社/2007-2/88.00元,9.1,433
炒股的智慧,陈江挺/经济科学出版社/2004-1/22.00元,8.9,2127
怎样选择成长股,菲利普.A.费舍/罗耀宗/海南出版社/1999-10/19.80,8.5,1052
随机漫步的傻瓜,纳西姆·尼古拉斯·塔勒布/盛逢时/中信出版社/2012-7/39.00元,8.2,1956
漫步华尔街,麦基尔/骆玉鼎、彭晗/机械工业出版社/2008-4/48.00元,8.5,1323
股市真规则,帕特·多尔西/中信出版社/2006-1/38.00元,8.9,1057
说谎者的扑克牌,[美]迈克尔·刘易斯/孙忠/中信出版社/2007-1/35.00元,8.1,2623
大空头,（美）迈克尔•刘易斯/中信出版社/2011-1-20/42.00元,8.3,1855
投资银行、对冲基金和私募股权投资,(美)戴维·斯托厄尔/黄嵩、赵鹏/机械工业出版社/2013-4/99.00元,8.7,163
财务自由之路,博多·舍费尔/刘元/南海出版社/2010-1-1/28.00元,8.1,1723
Margin of Safety,SethA.Klarman/HarperCollins/1991-10/USD27.50,9.1,540
战胜华尔街,[美]彼得·林奇、约翰·罗瑟查尔德/机械工业出版社/2007-8-1/48.00元,8.4,1884
通向财务自由之路,范·撒普/董梅/机械工业出版社/2008年/48.00元,8.4,1080
解读基金,季凯帆/中国经济出版社/2007-4/22.00,8.4,1913
股市进阶之道,李杰/中国铁道出版社/2014-3/55,8.8,692
策略投资,王成、韦笑/地震出版社/2012-1/80.00元,9,347
巴菲特的护城河,帕特·多尔西/刘寅龙/广东经济出版社/2009年11月/29.80元,8.6,1083
财报就像一本故事书,刘顺仁/山西人民出版社/2007-3/28.00元,7.8,3066
滚雪球（上）,[美]艾丽斯·施罗德/覃扬眉、丁颖颖、张万伟、张春明、张艳云/中信出版社/2009-1/39.00,8,2310
巴菲特传,RogerLowenstein/蒋旭峰、王丽萍/中信出版社/2008-9/49.00元,8.2,1976
富可敌国,[美]塞巴斯蒂安·马拉比/徐煦/中国人民大学出版社/2011-1/59.80元,8.7,836
非理性繁荣,(美)罗伯特.J.希勒/廖理/中国人民大学出版社/2004-11/29.00元,8.1,1173
公司基本面分析实务,中能兴业/地震/2012-3/35.00元,8.7,323
投资学,ZviBodie、AlexKane、AlanJ.Marcus/朱宝宪/机械工业出版社/2005-7/89.00元,8.4,1464
Seeking Wisdom,PeterBevelin/PCAPublications/2007,9.1,169
中产阶级如何保护自己的财富,yevon_ou欧成效/中国友谊出版公司/2017-4-1/48,7.7,509
投资交易笔记,董德志/经济科学/2011-6/52.00元,8.6,384
专业投机原理,维克托·斯波朗迪/机械工业出版社/2008-3/68.00元,8.6,1130
海龟交易法则,柯蒂斯·费思/乔江涛/中信出版社/2007-12/38.00元,8.5,1292
股票大作手操盘术,杰西·利弗莫尔/丁圣元/企业管理出版社/2003-8-1/20.00元,8.6,1119
公司价值分析,李杰/光明日报出版社/2015-5-1/20.00,9.1,112
