titles,authors,nums,peoples
聪明的投资者,本杰明·格雷厄姆、BenjaminGraham/王中华、黄一义/人民邮电出版社/2010-8/88.00元,9,3056
富爸爸，穷爸爸,（美）罗伯特・T・清崎、莎伦・L・莱希特/杨君，杨明/世界图书出版公司/2000-09/18.80,8.2,26642
彼得·林奇的成功投资,[美]彼得·林奇、约翰·罗瑟查尔德/刘建位、徐晓杰/机械工业出版社/2007-1/38.00元,8.7,5026
小狗钱钱,[德]博多·舍费尔/王钟欣、余茜/中国工人出版社/2002-2/15.80元,8.7,9473
投资中最简单的事,邱国鹭/中国人民大学出版社/2014-10/45.90,8.7,2918
投资最重要的事,[美]霍华德·马克斯HowardMarks/李莉、石继志/中信出版社/2012-7/58.00元,8.8,2236
工作前5年，决定你一生的财富,三公子/中国铁道出版社/2015-9-1/CNY39.80,7.4,2524
手把手教你读财报,唐朝/中国经济出版社/2015-1-1/CNY49.00,8.7,1487
财务自由之路,博多·舍费尔/刘元/南海出版社/2010-1-1/28.00元,8.1,1723
怎样选择成长股,菲利普.A.费舍/罗耀宗/海南出版社/1999-10/19.80,8.5,1052
解读基金,季凯帆/中国经济出版社/2007-4/22.00,8.4,1913
炒股的智慧,陈江挺/经济科学出版社/2004-1/22.00元,8.9,2127
巴菲特致股东的信,(美)巴菲特(Buffett.W.E.)/陈鑫/机械工业出版社/2004-01/38.00元,8.2,2055
通向财务自由之路,范·撒普/董梅/机械工业出版社/2008年/48.00元,8.4,1080
巴菲特的护城河,帕特·多尔西/刘寅龙/广东经济出版社/2009年11月/29.80元,8.6,1083
股市真规则,帕特·多尔西/中信出版社/2006-1/38.00元,8.9,1057
财报就像一本故事书,刘顺仁/山西人民出版社/2007-3/28.00元,7.8,3066
股市进阶之道,李杰/中国铁道出版社/2014-3/55,8.8,692
漫步华尔街,麦基尔/骆玉鼎、彭晗/机械工业出版社/2008-4/48.00元,8.5,1323
一本书读懂财报,肖星/浙江大学出版社/2014-7-1/35.00元,8.9,2369
中产阶级如何保护自己的财富,yevon_ou欧成效/中国友谊出版公司/2017-4-1/48,7.7,509
Margin of Safety,SethA.Klarman/HarperCollins/1991-10/USD27.50,9.1,540
战胜华尔街,[美]彼得·林奇、约翰·罗瑟查尔德/机械工业出版社/2007-8-1/48.00元,8.4,1884
有钱人想的和你不一样,哈维·艾克/漆仰平、赖伟雄/中国社会科学出版社/2008-1/20.00元,7.7,628
金钱有术,知乎/中信出版社/2014-11/42.00元,7.2,1915
个人理财,ArthurJ.Keown/汪涛、郭宁/中国人民大学出版社/2010-5/79.00元,8.1,168
富爸爸财务自由之路,"RobertT.;Lechter,SharonL.Kiyosaki/龙秀/世界图书出版公司/2000-10/23.80",8.1,3178
公司价值分析,李杰/光明日报出版社/2015-5-1/20.00,9.1,112
学会花钱,[日]野口真人/谷文诗/江西人民出版社·后浪出版公司/2016-7/36.00,7.3,566
投资者的未来,(美)杰里米J.西格尔(JeremyJ.Siegel)/李月平/机械工业出版社/2007-1/42.00元,8.3,695
思考致富,拿破仑・希尔/曹爱菊/中信出版社/2003-01/21.00,7.8,1029
巴菲特之道,罗伯特·哈格斯特朗/杨天南/机械工业出版社/2015-3-15/59.00,8.5,708
日本蜡烛图技术,（美）史蒂夫.尼森/丁圣元/地震出版社/1998-05-01/60.00元,8.9,3032
共同基金常识,[美]约翰•博格/巴曙松、吴博/中国人民大学出版社/2011-12/88.00元,8.2,120
邓普顿教你逆向投资,劳伦C•邓普顿、斯科特•菲利普斯/杨晓红/中信出版社/2010年10月1日/35.00元,8.2,1025
邻家的百万富翁,[美]托马斯·J.斯坦利、威廉·D.丹科/陈季东/海南出版社/1998-08/21.80元,7.4,691
买基金为自己加薪,萧碧燕/中信出版社/2011-6-20/26.00元,7.5,589
如何有效管理每一分钱,[日]小山龙介、[日]山田真哉/阿修菌/江西人民出版社·后浪出版公司/2016-12/38.00元,7.8,82
股市天才,乔尔·格林布拉特(JoelGreenblatt)/王正林、肖静、王权/中国青年出版社/2011-4-1/32.00元,8.4,241
有效资产管理,威廉•伯恩斯坦(WilliamJ.Bernste)/王红夏、张皓晨/机械工业出版社/2013-1/39.00元,8.4,134
穿过迷雾,任俊杰/中国经济出版社/2016-10-1/68,8.5,162
重剑无锋,小小辛巴/沈阳出版社/2012-5/88,8.7,200
