titles,authors,nums,peoples
创意,（美）詹姆斯·韦伯·扬/李旭大/中国海关出版社/2004-10/24.00元,8.2,495
活动策划完全手册,朱迪•艾伦(JudyAllen)/旅游教育出版社/2006-6-1/28.00元,7.2,418
文案发烧,路克・苏立文、徐凤兰/徐凤兰/中国财政经济出版社/2004-8-1/39.80元,8,962
疯传,乔纳·伯杰(JonahBerger)/刘生敏、廖建桥/电子工业出版社/2014-1-1/CNY48.00,7.3,1048
獨立策展人Independent Curators,愛莉森．卡羅/桂雅文/五觀/2004-7-30/NT$400,8.3,38
编辑力,（日）鹫尾贤也/陈宝莲/中国人民大学出版社/2007-1-1/35,7.6,346
蔚蓝诡计,（美）乔治·路易斯（GeorgeLois）、（美）比尔·匹兹（BillPitts）/刘家驯/海南出版社/1996-11-01/15.80元,8.2,734
广告人手记,叶茂中/朝华出版社/2011-10/45.00元,7.6,603
赖声川的创意学,赖声川/中信出版社/2006-9/36.00元,7.8,2500
广告媒体策划,[美]杰克•西瑟斯、[美]罗杰•巴隆/闾佳/中国人民大学出版社/2006-5/88.00元,7.8,156
展览实践手册,[德]沃尔夫戈.普尔曼/黄梅/湖北美术出版社/2011-4/35.00元,8.1,38
产品经理的第一本书,林达·哥乔斯/戴维依/中国财政经济出版社/2004-1/39.80元,7.1,462
叶茂中的营销策划,叶茂中/中国人民大学出版社/2007-3/36.80元,7.4,336
编辑人的世界,格罗斯/齐若兰/中国工人出版社/2000-9/45.00元,8.1,222
时尚：幕后的策动,瘦马/旅游教育出版社/2006-2/38.00,6.8,488
广告与促销,[美]乔治·贝尔奇等/中国人民大学出版社/2006-07-12/89.00元,8.5,63
創意筆記本: 概念力,高橋宣行/三采文化出版事業有限公司/20080514/NTD250.00,7.9,43
营销的16个关键词,叶茂中/机械工业出版社/2014-1-1/CNY98.00,7.9,283
活动策划全攻略,朱迪·艾伦/卢涤非/旅游教育/2010-7/38.00元,7.2,37
会讲故事，让世界听你的,卢建彰（KurtLu）/中国友谊出版公司/2015-11-18/38.00,7.9,189
电视节目策划笔记,张绍刚/新星出版社/2010-06/36.00元,7.9,66
营销策划技能案例训练手册,郑方华/机械工业出版社/2006-1/29.80元,7.6,27
思考的利器,加藤昌治/王瑶芬/机械工业出版社/2005-1-1/25.00,7.3,206
品类,唐十三/企业管理/2007-1/55.00元,7.7,43
金牌文案,金牌文案联盟/辽宁科学技术出版社/2011-9-1/48.00元,7.4,195
那些让文案绝望的文案,小马宋/北京联合出版公司/2015-10/45,5.8,489
图解营销策划,马尔科姆·麦克唐纳(MalcolmMcDonald)、彼得·莫里斯(PeterMorris)/徐佳/电子工业出版社/2014-3-1/CNY39.00,6.4,71
转身看策划,叶茂中/中华工商联合出版社/36.00,8.4,33
谋生,王志纲/北京大学出版社/2009-2/28.00元,8.1,348
创意笔记本4,高桥宣行/曹逸冰/中信出版股份有限公司/2014-5-1/CNY32.00,8.6,48
不说话就赢的企划术,（日）天野畅子/李青/世界图书出版公司·后浪出版公司/2011-7-1/28.00元,7.8,62
产品经理的第二本书,[美]哥乔斯/戴维侬/中国财政经济出版社/2004-4/39.80元,7.5,228
策划人时代,皮力著/江苏美术出版社/1900-01-01/15.00元,7.2,70
国际4A广告公司媒介策划基础,朱海松/广东经济出版社/2005-5/25.00元,7.4,98
新闻公关策划实战,易圣华/机械工业出版社/2009-10/30.00元,7.6,63
創意筆記本-思考力,高橋宣行/三采文化出版事業有限公司/20080312/NTD250.00,8,33
国际4A广告公司基本操作流程,朱海松编著/广东经济出版社/2002-3/18.00元,7.1,247
策划人,谢伊·塞尔/中国人大/2005-11/15.00元,6.3,35
做最创意的节目,崔莹/南方日报出版社/2008-5/38.00元,7.5,106
创意就是权力,叶茂中营销策划机构/机械工业出版社/2003-06-10/98.00元,7.9,49
游戏关卡设计,PhilCo/姚晓光、孙泱/机械工业/2007-1/35.00元,7.4,159
