titles,authors,nums,peoples
影响力,[美]罗伯特·西奥迪尼/陈叙/中国人民大学出版社/2006-5/45.00元,8.6,26052
创业维艰,本·霍洛维茨BenHorowitz/杨晓红、钟莉婷/中信出版社/2015-2/49,8.4,5898
卓有成效的管理者,[美]彼得·德鲁克/许是祥/机械工业出版社/2005-6/28.00元,8.8,9524
高效能人士的七个习惯（精华版）,[美]史蒂芬·柯维/高新勇、王亦兵、葛雪蕾/中国青年出版社/2011-6/29.00元,8.2,20477
定位,[美]艾·里斯、杰克·特劳特/王恩冕等/中国财政经济出版社/2002-2/39.80元,8.3,6237
精益创业,[美]埃里克·莱斯/吴彤/中信出版社/2012-8/49.00元,8.4,3601
认识商业,[美]威廉·尼科尔斯、[美]詹姆斯·麦克修、[美]苏珊·麦克修/陈智凯、黄启瑞/世界图书出版公司/2009-10/68.00元,8.3,845
重新定义公司,[美]埃里克·施密特/靳婷婷、陈序、何晔/中信出版社/2015-8/49.00,8.2,4454
创新者的窘境,克莱顿•克里斯坦森(ClaytonM.Christensen)/胡建桥/中信出版社/2010-6/38.00元,8.5,1855
从0到1,彼得·蒂尔、布莱克·马斯特斯/高玉芳/中信出版股份有限公司/2015-1-1/CNY45.00,7.6,17851
营销管理,[美]菲利普·科特勒、[美]凯文·莱恩·凯勒/梅清豪/上海人民出版社/2006-9/78.00元,9,1673
大败局,吴晓波/浙江人民出版社/2001-01/29.00元,8.3,9932
金字塔原理,[美]巴巴拉·明托/王德忠、张珣/民主与建设出版社/2002-12/39.80元,8.1,4255
管理的实践,[美]彼得·德鲁克/齐若兰/机械工业出版社/2006-1/48.00元,8.9,1908
MBA教不了的创富课,老雕/当代中国出版社/2011-1-1/28.00元,8.4,3760
旁观者,[美]彼得.德鲁克/廖月娟/机械工业出版社/2005-9/38.00元,8.7,3146
第五项修炼,[美]彼得·圣吉/郭进隆/上海三联书店/2003-07/28.00元,8.4,2987
靠谱,[日]大石哲之/贾耀平/后浪丨江西人民出版社/2017-6/36.00元,7.7,394
重来,[美]贾森·弗里德、[丹]戴维·海涅迈尔·汉森/李瑜偲/中信出版社/2010-10/36.00元,8.3,6354
商业模式新生代,亚历山大•奥斯特瓦德(AlexanderOsterwalder)、伊夫•皮尼厄(YvesPigneur)/王帅、毛心宇、严威/机械工业出版社/2011-8-15/88.00元,8.3,1952
野蛮生长,冯仑/中信出版社/2007-12/39.00元,8.3,8990
活法,（日）稻盛和夫/周庆玲/东方出版社/2005-03/24.00元,8.2,7672
罗伯特议事规则,亨利·罗伯特/孙涤、袁天鹏/世纪出版集团格致出版社/2008年1月/48.00元,8.7,844
经验的疆界,[美]詹姆斯G.马奇/丁丹/东方出版社/2011-6/18.00元,8.8,505
赢,（美）杰克•韦尔奇，苏茜•韦尔奇/余江/中信出版社/2005-5/35.00元,8.2,6215
领导梯队,拉姆•查兰(RamCharan)、斯蒂芬•德罗特(StephenDrotter)、詹姆斯•诺埃尔(JamesNoel)/徐中、林嵩、雷静/机械工业出版社/2011-7/42.00元,8.4,682
横向领导力,[美]罗杰·费希尔（RogerFisher）、艾伦·夏普（AlanSharp）/刘清山/北京联合出版公司·后浪出版公司/2015-11/32.00元,8,702
权力与领导（第5版）,[美]詹姆斯·克劳森（JamesG.Clawson）/马昕/世界图书出版公司·后浪出版公司/2015-2/52.00元,8.9,200
零售的哲学：7-Eleven便利店创始人自述,[日]铃木敏文/顾晓琳/江苏文艺出版社/2014-12-1/36,8.1,3074
基业长青,[美]詹姆斯·柯林斯、[美]杰里·波勒斯/真如/中信出版社/2006-9/39.00元,8.2,3848
创新公司,[美]艾德·卡特姆、埃米·华莱士/靳婷婷/中信出版社/2015-2/49.00元,8.6,734
思考的技术,大前研一/刘锦秀、谢育容/中信出版社/2008年7月/25.00元,7.9,2577
关键对话,（美）科里·帕特森（KerryPatterson）、约瑟夫·格雷尼（JosephGrenny）、罗恩·麦克米兰（RonMcMillan）/毕崇毅/机械工业出版社/2012-4/39.00元,8.2,2219
重新定义团队：谷歌如何工作,拉兹洛·博克/宋伟/中信出版集团/2015-12-1/CNY56.00,8.3,1030
怦然心动的人生整理魔法,〔日本〕近藤麻理惠/徐明中/译林出版社/2012-5/28.00元,8,10352
目标,艾利·高德拉特、杰夫·科克斯/齐若兰/电子工业出版社/2006.1/48.0,8.7,1501
街头生意经,（美）布罗茨基，（美）博林翰/李瑜偲/中信出版社/2010-1/29.00元,8.6,1304
富爸爸，穷爸爸,（美）罗伯特・T・清崎、莎伦・L・莱希特/杨君，杨明/世界图书出版公司/2000-09/18.80,8.2,26642
10人以下小团队管理手册,[日]堀之内克彦/程雨枫/后浪丨北京联合出版公司/2017-5/32.00元,7.7,286
沃顿商学院最受欢迎的谈判课,[美]斯图尔特·戴蒙德/杨晓红/中信出版社/2012-8/69.00元,7.7,2861
从优秀到卓越,[美]吉姆·柯林斯/俞利军/中信出版社/2006-7/39.00元,8,4399
商业的本质,[美]杰克·韦尔奇、[美]苏茜·韦尔奇/蒋宗强/中信出版社/2016-4-6/49.00元,7.5,1173
