titles,authors,nums,peoples
经济学原理（上下）,[美]曼昆/梁小民/机械工业出版社/2003-8/88.00元,9.1,11534
通往奴役之路,(英)弗里德利希·奥古斯特·哈耶克/王明毅、冯兴元、等/中国社会科学出版社/1997-08-01/16.00,8.8,9349
国富论,[英]亚当·斯密/唐日松等/华夏出版社/2005-1/69.00元,9,6590
激荡三十年（上）,吴晓波/中信出版社浙江人民出版社/2007-1/35.00,8.8,21320
大国大城,陆铭/上海人民出版社/2016-7-1/CNY42.00,8.8,2143
合适,[日]坂井丰贵/蔡晓智/后浪出版公司·江西人民出版社/2016-10/38.00元,7.9,790
经济学通识,薛兆丰/北京大学出版社/2015-8/58.00元,8.3,2105
中央帝国的财政密码,郭建龙/鹭江出版社/2017-4-1/CNY68.00,8.5,954
认识商业,[美]威廉·尼科尔斯、[美]詹姆斯·麦克修、[美]苏珊·麦克修/陈智凯、黄启瑞/世界图书出版公司/2009-10/68.00元,8.3,845
伟大的博弈,[美]约翰·S.戈登/祁斌/中信出版社/2005-1/39.00元,8.3,10545
策略思维,阿维纳什・K・迪克西特、巴里・J・奈尔伯夫/王尔山/译、王则柯/校/中国人民大学出版社/2003年7月第3版/39.00元,8.5,1694
怪诞行为学,[美]丹·艾瑞里/赵德亮、夏蓓洁/中信出版社/2008-10/39.00,8.1,13211
自由选择,[美]米尔顿·弗里德曼、罗丝·弗里德曼/张琦/机械工业出版社/2008-6/48.00元,8.9,1297
贸易的猜忌,[英]伊斯特凡•洪特/霍伟岸、迟洪涛、徐至德/译林出版社/2017-4/88.00,8.8,20
经济学的思维方式（第11版）,[美]保罗·海恩、[美]彼得·勃特克、[美]大卫·普雷契特科/马昕、陈宇/世界图书出版公司/2008-5/49.80,8.7,2597
聪明的投资者,本杰明·格雷厄姆、BenjaminGraham/王中华、黄一义/人民邮电出版社/2010-8/88.00元,9,3055
资本论（第一卷）,马克思/中共中央马克思恩格斯列宁斯大林著作编译局/人民出版社/1975.6/45.00元,9.1,1725
激荡三十年（下）,吴晓波/中信出版社浙江人民出版社/2008-1/42.00,8.9,14932
行动的勇气,[美]本·伯南克/蒋宗强/中信出版社/2016-5/78.00元,8.9,506
致命的自负,（英）哈耶克/冯克利等/中国社会科学出版社/2000-09/19.80,8.8,2271
经济学原理(第7版):微观经济学分册+宏观经济学分册(套装共2册),曼昆(N.GregoryMankiw)/梁小民、梁砾/北京大学出版社/2015-5-1/128,9.5,821
摩根财团,[美]罗恩·彻诺(RonChernow)/金立群/江苏文艺出版社/2014-4-24/198.00,8.7,519
理性乐观派,（美）马特·里德利（MattRidley）/闾佳/机械工业出版社/2011-12/45.00元,8.4,1591
牛奶可乐经济学,[美]罗伯特·弗兰克/闾佳/中国人民大学出版社/2008-1/39.80,7.6,15012
富爸爸，穷爸爸,（美）罗伯特・T・清崎、莎伦・L・莱希特/杨君，杨明/世界图书出版公司/2000-09/18.80,8.2,26641
贫穷的本质,阿比吉特•班纳吉(AbhijitV.Banerjee)、埃斯特•迪弗洛(EstherDuflo)/景芳/中信出版社/2013-4-1/58.00元,7.7,2500
大败局,吴晓波/浙江人民出版社/2001-01/29.00元,8.3,9932
金融炼金术,[美]乔治·索罗斯/孙忠/等/海南出版社/1999-4/24.80元,8.4,2110
斯坦福极简经济学,[美]蒂莫西‧泰勒/林隆全/湖南人民出版社/2015-2/35.00,7.9,2382
货币战争,宋鸿兵编著/中信出版社/2007-6/38.00元,7.2,40347
历代经济变革得失,吴晓波/浙江大学出版社/2013-8-1/42.00,8.6,4574
大而不倒,安德鲁·罗斯·索尔金/巴曙松、陈剑/中国人民大学出版社/2010-9/69.80元,8.4,2240
货币金融学,弗雷德里克·S·米什金/郑艳文/中国人民大学出版社/2006-12/79.00元,8.8,1957
黑天鹅,[美]纳西姆·尼古拉斯·塔勒布/万丹/中信出版社/2008-5/39.00,7.7,6662
魔鬼经济学,[美]史蒂芬·列维特、[美]史蒂芬·都伯纳/刘祥亚/广东经济出版社/2007-7/32.00元,7.6,8905
经济学,(美)保罗﹒萨缪尔森、（美）诺德豪斯/萧琛/人民邮电出版社/2004-1/68.00元,9.1,1686
长尾理论,[美]克里斯·安德森/乔江涛/中信出版社/2006-12/35.00元,7.7,11136
金融的逻辑,陈志武/国际文化出版公司/2009-08-01/39.80元,7.9,8908
21世纪资本论,[法]托马斯·皮凯蒂（ThomasPiketty）/巴曙松/中信出版社/2014-9/98.00元,7.6,1663
一课经济学,（美）亨利·黑兹利特/蒲定东/中信出版社/2008-10-1/32.00元,8.4,2612
信用创造、货币供求与经济结构,李斌、伍戈/中国金融出版社/2014-12-1/58.00元,9.1,142
就业、利息和货币通论,（英）约翰・梅纳德・凯恩斯/高鸿业/商务印书馆/2005-03/28.00元,8.7,1105
王二的经济学故事,郭凯/浙江人民出版社/2012-7/38.00元,8.3,3372
集体行动的逻辑,曼瑟尔·奥尔森/陈郁、郭宇峰、李崇新/生活·读书·新知三联书店上海人民出版社/1995-4/18.00元,8.4,1301
诡辩与真相,[美]托马斯·索维尔/罗汉、田菊莲/上海译文出版社/2011-5/45.00元,9,538
美国货币史 1867—1960,[美]米尔顿·弗里德曼等、[美]安娜·J.施瓦茨/巴曙松、王劲松等/北京大学出版社/2009-1/78.00元,8.8,592
天才的回声,［美］托德·布赫霍尔茨/ToddG.Buchholz/黄延峰/中信出版社/中信•大方/2016-12/69.00元,8.8,168
道德情操论,(英)亚当·斯密/蒋自强、钦北愚、朱钟棣、沈凯璋/商务印书馆/1997-12/30.00元,8.8,2332
变革中国,罗纳德•哈里•科斯、王宁/徐尧、李哲民/中信出版社/2013-1-1/CNY58.00,8.6,2417
與中國打交道,亨利‧鮑爾森HenryM.Paulson/王宇光、朱淵、朱啟文、王慧/時報文化/2017-1-24/NTD460,8.8,612
大江东去（共三部）,阿耐/长江文艺出版社/2009-1/118.00元,9,3433
别做正常的傻瓜,奚恺元/机械工业出版社/2006-8/28.00元,8.1,5240
世界是平的,[美]托马斯·弗里德曼/何帆、肖莹莹、郝正非/湖南科学技术出版社/2006-11/56.00元,7.7,13409
跌荡一百年（下）,吴晓波/中信出版社/2009-9/42.00元,8.6,4161
红色资本,[美]卡尔·沃尔特(CarlE.Walter)、[美]弗雷泽·豪伊(FraserJ.Howie)/祝捷、刘骏/东方出版中心/2013-8-1/38.00元,8.9,567
穷查理宝典,[美]彼得·考夫曼(编)/李继宏/上海人民出版社/2010-10-01/88.00,9,5724
公司理财,斯蒂芬A.罗斯/机械工业出版社/2007-1/78.00元,8.8,1304
无价,[美]威廉·庞德斯通/闾佳/华文出版社/2011-1/49.80元,8,2849
经济解释卷一： 科学说需求 （神州增订版）,张五常/中信出版社/2010-6/25.00元,9,1109
经济为什么会崩溃,〔美〕彼得•D•希夫安德鲁•J•希夫/胡晓姣、吕靖纬/中信出版社/2011-8/39.00元,8.9,1469
漫步华尔街,麦基尔/骆玉鼎、彭晗/机械工业出版社/2008-4/48.00元,8.5,1323
消费者行为学 （第8版·中国版）,[美]迈克尔·R.所罗门/卢泰宏、杨晓燕/中国人民大学出版社/2009-7/69.00元,8.1,1402
凯恩斯传,罗伯特·斯基德尔斯基/相蓝欣、储英/生活·读书·新知三联书店/2006-05/79.00元,8.9,522
大空头,（美）迈克尔•刘易斯/中信出版社/2011-1-20/42.00元,8.3,1855
逃不开的经济周期,拉斯·特维德/董裕平/中信出版社/2008-11/42.00元,8.3,770
稀缺,塞德希尔·穆来纳森、埃尔德·沙菲尔/魏薇、龙志勇/浙江人民出版社/2014-11/56.90元,7.5,3286
随机漫步的傻瓜,纳西姆·尼古拉斯·塔勒布/盛逢时/中信出版社/2012-7/39.00元,8.2,1956
渐行渐远的红利,彭文生/社会科学文献出版社/2013-4-1/58.00元,8.9,297
博弈与社会,张维迎/北京大学出版社/2013-1/49.00元,8.7,541
八次危机,温铁军/东方出版社/2013-1-1/55.00元,8.7,571
One Billion Customers,JamesMcGregor/Simon&Schuster/2007-9-4/$15.00,9.1,2115
分享经济的爆发,阿鲁·萨丹拉彻/周恂/文汇出版社/2017-4-1/59.00元,7.6,176
说谎者的扑克牌,[美]迈克尔·刘易斯/孙忠/中信出版社/2007-1/35.00元,8.1,2623
亚洲大趋势,乔•史塔威尔/中信出版社/2014-5/68.00元,9.1,210
共享经济没有告诉你的事,[加]汤姆·斯利（TomSlee）/涂颀/后浪丨江西人民出版社/2017-3/38.00元,8.3,124
投资中最简单的事,邱国鹭/中国人民大学出版社/2014-10/45.90,8.7,2918
思考，快与慢,[美]丹尼尔·卡尼曼/胡晓姣、李爱民、何梦莹/中信出版社/2012-7/69.00元,8.2,7566
自由秩序原理,(英)弗里德利希・冯・哈耶克/邓正来/三联书店/1997-12/28.0,9.1,910
自私的皮球,辉格/清华大学出版社/2012-3/38.00元,8.6,878
时寒冰说：未来二十年，经济大趋势（现实篇）,时寒冰/上海财经大学出版社/2014-7-1/CNY49.80,8.2,1803
哈耶克文选,哈耶克/冯克利/江苏人民出版社/2000-09/35,9.1,537
城市的胜利,[美]爱德华·格莱泽/刘润泉/上海社会科学院出版社/2012-12/49.80元,8.1,1169
白银资本,贡德・弗兰克/刘北成/中央编译出版社/2008-9/35.0,7.4,581
思想的力量：智识之旅的非常规自传,雅诺什·科尔奈(JanosKornai)/安佳、张涵/上海人民出版社/2013-5-1/98,8.9,56
新经济，新规则,[美]KevinKelly/刘仲涛/译言·东西文库／电子工业出版社/2014-7/CNY45.00,8.5,821
人类活动中的理性,[美]赫伯特·西蒙/胡怀国、冯科/广西师范大学出版社/2016-12-1/32.00,8.9,116
非理性繁荣,(美)罗伯特.J.希勒/廖理/中国人民大学出版社/2004-11/29.00元,8.1,1173
1844年经济学哲学手稿,[德]马克思/中共中央马克思恩格斯列宁斯大林著作编译局/人民出版社/2000-5/12.00元,8.9,1512
人的行為,米塞斯/夏道平/遠流出版事業股份有限公司/1991/NT$360/400,9.4,216
断层线,[美]拉古拉迈·拉詹/刘念、蒋宗强、孙倩、刘开雄/中信出版社/2011-7/49.00元,8.2,777
有闲阶级论,[美]凡勃伦/蔡受百/商务印书馆/1964-8/16.00元,8.1,1012
货币的教训,周其仁/北京大学出版社/2012-1/36.00元,8.9,685
博弈论基础,(美)罗伯特.吉本斯/高峰/北京-中国社会科学出版社/1999/25.00元,8.4,480
世界是红的：看懂中国经济格局的一本书,白云先生/贵州人民出版社/2017-6/42.00元,7.4,1072
大转型,[英]卡尔·波兰尼/刘阳、冯钢/浙江人民出版社/2007-5/35.00,8.7,738
时运变迁,[美]保罗·沃尔克、[日]行天丰雄/于杰/中信出版社/2016-11-1/CNY68.00,8.5,173
博弈论,让・梯若尔、朱・弗登博格/黄涛/中国人民大学出版社/2002-10-1/68.00元,8.3,510
卧底经济学（全4册）,[英]蒂姆·哈福德/赵恒等/中信出版社/2017-1-1/192.00,7.5,159
权力与繁荣,（美）曼瑟・奥尔森/苏长和/上海人民出版社/2005-05/22.00,8.6,499
穿越历史聊经济,汪凌燕、汪通/北京大学出版社/2016-9/45.00元,8.4,198
投资学,ZviBodie、AlexKane、AlanJ.Marcus/朱宝宪/机械工业出版社/2005-7/89.00元,8.4,1464
经济运行的逻辑,高善文/中国人民大学出版社/2013-5/49.00元,8.5,539
跌荡一百年（上）,吴晓波/中信出版社/2009-1/42.00,8.6,3840
“错误”的行为,理查德·泰勒/王晋/中信出版集团股份有限公司/2016-1/69,8.4,670
自由与繁荣的国度,[奥]路德维希·冯·米瑟斯/韩光明等/中国社会科学出版社/1995-1/13.40元,8.8,694
解读中国经济,林毅夫/北京大学出版社/2012-9/39.00元,8.9,1009
渐行渐近的金融周期,彭文生/中信出版集团/2017-6/65.00,9,171
中央银行与货币供给,盛松成、翟春/中国金融出版社/2015-4/58.00元,8.8,55
经济与社会（第一卷）,[德]马克斯·韦伯/阎克文/上海人民出版社/2010-1/68.00元,9.2,173
资本主义、社会主义与民主,(美)约瑟夫·熊彼特/吴良健/商务印书馆/1999-02/28.00,8.4,494
一本书读懂财报,肖星/浙江大学出版社/2014-7-1/35.00元,8.9,2369
亚洲教父,[美]乔·史塔威尔/史钰军/复旦大学出版社/2011-7/36.00元,8.3,998
货币、银行信贷与经济周期,[西]赫苏斯·韦尔塔·德索托（J.HuertadeSoto）/葛亚非、刘芳/三辉图书/电子工业出版社/2012-6/80.00元,8.5,114
免费,[美]克里斯·安德森/蒋旭峰、冯斌、璩静/中信出版社/2009-9/39.00,7.5,3420
统计数字会撒谎,[美]达莱尔·哈夫/廖颖林/中国城市出版社/2009-3/28.00,7.4,2280
中国的经济制度,张五常/中信出版社/2009-10/25.00元,8,2064
第四消费时代,[日]三浦展/马奈/东方出版社/2014-10-30/42.00元,8.1,372
国富国穷,戴维S.兰德斯/门洪华/新华出版社/2010-1/62.00元,8.3,427
白银帝国,徐瑾/中信出版社/2017-2-1/CNY59.00,7.5,201
江村经济,费孝通/商务印书馆/2001-3/26.00元,9,3587
货币的非国家化,弗里德里希·冯·哈耶克/姚中秋/新星出版社/2007-8/25.00元,8.9,462
资本社会的17个矛盾,[美]大卫·哈维(DavidHarvey)/许瑞宋/中信出版集团/2016-10-7/68.00,8.3,116
改革的逻辑,周其仁/中信出版社/2013-8/45.00元,8.3,468
千年金融史,威廉·戈兹曼/张亚光、熊金武/中信出版集团股份有限公司/2017-5-1/68,8,170
创新的先知,[美]托马斯·麦克劳/陈叶盛、周端明、蔡静/中信出版社/2010-11/80.00元,9.2,84
市场的逻辑,张维迎/世纪文景上海人民出版社/2010-7/45.00元,8.3,879
怪诞行为学2,[美]丹·艾瑞里/赵德亮/中信出版社/2010-1-9/42.00元,7.9,4273
一炮走红的国家,鲁奇尔·夏尔马/常世光/中信出版社/2013-5-30/59.00元,8.5,610
社会主义,路德维希·冯·米瑟斯/王建民、冯克利、崔树义/中国社会科学出版社/2008-05-01/45.00元,8.9,314
经济学基础,曼昆(N.GregoryMankiw)/梁小民、梁砾/北京大学出版社/2010-2/65.00元,9.4,440
以自由看待发展,[印]阿马蒂亚·森/任赜、于真/中国人民大学出版社/2002-7/39.00元,9,648
投资最重要的事,[美]霍华德·马克斯HowardMarks/李莉、石继志/中信出版社/2012-7/58.00元,8.8,2236
看得见的手,小艾尔弗雷德·D.钱德勒/重武/商务印书馆/1987-09/26.00元,9,136
金融的本质,【美】伯南克/巴曙松、陈剑/中信出版社/2014-4/58.00,8.1,467
卖桔者言,张五常/四川人民出版社/1988-06-01/1.56元,8.5,1134
彼得·林奇的成功投资,[美]彼得·林奇、约翰·罗瑟查尔德/刘建位、徐晓杰/机械工业出版社/2007-1/38.00元,8.7,5026
从0到1,彼得·蒂尔、布莱克·马斯特斯/高玉芳/中信出版股份有限公司/2015-1-1/CNY45.00,7.6,17851
行为经济学讲义,汪丁丁/上海人民出版社/2011-8-1/89.80元,9,254
人、经济与国家,[美]穆雷·N.罗斯巴德/董子云、李松、杨震/浙江大学出版社/2015-7-1/118,9.2,71
经济学思想史讲义,汪丁丁/上海人民出版社/2008.01/40.00元,8.9,533
经济人的末日,[美]彼得·德鲁克/洪世民、赵志恒/上海译文出版社/2015-8,9.1,147
浩荡两千年,吴晓波/中信出版社/2012-1/45.00元,8.6,1977
空间的力量,陆铭/格致出版社/2013-3/35.00元,8.5,73
魔鬼经济学（罗辑思维独家定制版）,[美]史蒂芬·列维特、美]史蒂芬·都伯纳/王晓鹂、曾贤明、汤珑/中信出版社/2016-6/192.00元,7.5,533
与机器赛跑,[美]埃里克·布林约尔松（ErikBrynjolfsson）、[美]安德鲁·麦卡菲（AndrewMcAfee）/闾佳/2013-1-20/6.00,8.2,536
15至18世纪的物质文明、经济和资本主义（全三卷）,[法]费尔南·布罗代尔/顾良、施康强/生活·读书·新知三联书店/2002-5/90.00元,9.4,224
信息规则,[美]卡尔・夏皮罗(CarlShapiro)、[美]哈尔・瓦里安(HalVarian)/张帆/中国人民大学出版社/2000-6/33.00元,9,280
自由的伦理,[美]穆瑞·罗斯巴德/吕炳斌、周欣、韩永强、朱健飞/复旦大学出版社/2008-10/45.00元,8.7,361
中国经济史,钱穆讲授、叶龙记录整理、林毅夫序/北京联合出版公司·后浪出版公司/2013-12/39.80元,8.1,560
经济与社会（第二卷 上下）,[德]马克斯·韦伯/阎克文/上海人民出版社/2010-7/88.00元,9,180
吴晓波中国企业史三部曲完整典藏版,吴晓波/中信出版社/2012-1-1/358.00元,9,163
城乡中国（上）,周其仁/中信出版社/2013-8/39.00元,8.6,665
宏观经济学,N·格里高利·曼昆/张帆、梁晓钟/中国人民大学出版社/2005-3/60.00元,8.8,1883
市场营销原理,（美）菲利普.科特勒（PhilipKotler）等/何志毅等/机械工业出版社/2006-7/58.00元,8.8,487
妙趣横生博弈论,（美）奈尔伯夫、（美）迪克西特/董志强、王尔山、李文霞/机械工业出版社/2009-8/48.00元,8.4,474
郎咸平说：我们的日子为什么这么难,郎咸平/东方出版社/2010-9-1/32.00元,7.6,7004
门口的野蛮人,布赖恩·伯勒、约翰·希利亚尔/张振华/机械工业出版社/2010-9/52.00元,8.2,1677
城市化转型与土地陷阱,华生/东方出版社/2013-11-1/CNY55.00,9.3,237
西方世界的兴起,[美]道格拉斯·诺斯、罗伯特·托马斯/厉以平、蔡磊/华夏出版社/2009-6-1/29.80元,8.4,336
不确定状况下的判断,[美]丹尼尔·卡尼曼、[美]保罗·斯洛维奇、[美]阿莫斯·特沃斯基/方文、吴新利、张擘等/中国人民大学出版社/2008-9/79.80元,8.5,153
当音乐停止之后,艾伦·布林德/巴曙松、徐小乐/中国人民大学出版社/2014-7-1/79.90元,8.7,271
房债,[美]阿蒂夫·迈恩（AtifMian）、阿米尔·苏非（AmirSufi）/何志强、邢增艺/中信出版社/2015-7/36.00元,8.6,169
大衰退,（美）辜朝明/东方出版社/2008/11/01/39.00元,8.3,458
微观经济学,[美]哈尔·R·范里安/费方域/上海人民出版社/1994-1/42.00元,8.7,1488
经济分析史（第一卷）,[美]约瑟夫·熊彼特/朱泱、孙鸿敬、李宏/商务印书馆/1996-8/21.20元,9.1,262
伟大的中国工业革命,文一/清华大学出版社/2016-6-1/59.00元,8.3,232
货币、方法与市场过程,路德维希·冯·米塞斯/戴忠玉、刘亚平/新星出版社/2007-8/33.00元,9.2,194
选择的悖论,巴里•施瓦茨(BarrySchwartz)/梁嘉歆、黄子威、彭珊怡/浙江人民出版社/2013-3-1/45.90元,7.6,776
美国大萧条,[美]默里·罗斯巴德/谢华育/上海人民出版社/2009-4/39.00元,8.7,308
时寒冰说,时寒冰、时菱蔓绘/上海财经大学出版社/2011-7/39.90元,8.6,3477
资本主义与自由,[美]米尔顿·弗里德曼/张瑞玉/商务印书馆/2004-7/15.00元,8.3,746
卧底经济学,蒂姆·哈福德/赵恒/中信出版社/2006-7/29.80元,7.6,949
期权、期货和其他衍生品（第5版）,（加）约翰.赫尔（JohnC.Hull）/清华大学出版社/2006-3-1/68.00,9,820
凯恩斯大战哈耶克,（美）尼古拉斯•韦普肖特/闾佳/机械工业出版社/2013-4-1/59.00元,8.1,558
金融学,(美)博迪、莫顿/伊志宏/中国人民大学出版社/2000-10/50.00元,8.4,792
资本的秘密,赫尔南多·德·索托/于海生/华夏出版/2007-2/25.00元,8.3,462
国家的兴衰,[美]曼瑟·奥尔森/李增刚/上海人民出版社/2007-3/26.00元,8.3,300
金融市场与金融机构基础,弗兰克·J·法博齐、弗兰科·莫迪利亚尼、弗兰克·J·琼斯/孔爱国、胡畏、张湄/机械工业出版社/2010-9/79.00元,8.6,168
资本的游戏,房西苑/机械工业出版社/2008-10/70.00元,8.5,409
镜厅,[美]巴里·埃森格林、BarryEichengreen/何帆/中信出版社/2016-9/68,8.3,63
金融的解释,王福重/中信出版社/2014-11/49.00元,7.5,1170
米塞斯大传,[德]约尔格·吉多·许尔斯曼/黄华侨等/上海社会科学院出版社/2016-8/145元,9.6,46
增长的本质,凯萨·伊达尔戈/中信出版集团股份有限公司/2015-11-1/CNY49.00,8.2,223
零边际成本社会,[美]杰里米·里夫金/赛迪研究院专家组/中信出版社/2014-11-1/49.00,7.5,574
正义的成本：当法律遇上经济学,熊秉元/东方出版社/2014-5-1/45.00元,7.9,450
超越金融,乔治·索罗斯/宋嘉/中信出版社/2010-4/28.00元,8.4,1347
富足,彼得•戴曼迪斯(PeterH.Diamandis)、史蒂芬•科特勒(StevenKotler)/贾拥民/浙江人民出版社/2014-4-1/79.90元,7.8,469
权力与市场,穆雷·罗斯巴德/刘云鹏、戴忠玉、李卫公/新星出版社/2007-8/29.00,8.8,184
公司财务原理,理查德A.布雷利、斯图尔特C.迈尔斯/方曙红等/机械工业出版社/2004-4-1/108.00元,9.1,163
杨小凯谈经济,杨小凯/中国社会科学出版社/2004-09/25.00,9,205
冬吴相对论,吴伯凡、梁冬/商务印书馆/2009-10-1/35.00元,8.6,1032
财报就像一本故事书,刘顺仁/山西人民出版社/2007-3/28.00元,7.8,3066
信号与噪声,[美]纳特•西尔弗/胡晓姣、张新、朱辰辰/中信出版社/2013-8/69.00元,7.1,1026
贫困与饥荒,阿马蒂亚·森/王宇、王文玉/商务印书馆/2004-12-01/19.00元,9,292
货币银行学,易纲、吴有昌/吴全昊/上海人民出版社/1999-1/49.00元,8.5,500
利息理论,[美]菲歇尔/陈彪如/上海人民出版社/1999/24.00,9.4,132
社会共通资本,[日]宇泽弘文/李博/后浪丨浙江人民出版社/2017-6/38.00元,7.4,69
第一本经济学,[美]墨菲/程晔/上海财经大学出版社/2011-10/35.00元,8.6,368
价值评估,蒂姆·科勒/高建、魏平、朱晓龙等/电子工业出版社/2007-2/88.00元,9.1,433
博弈论与经济行为,冯・诺伊曼、摩根斯顿/王宇、王文玉/生活·读书·新知三联书店/2004-12/50.00元,8.5,116
官僚体制·反资本主义的心态,路德维希·冯·米塞斯/冯克利、姚中秋/新星出版社/2007-8/23.00元,9,438
中国是部金融史,陈雨露、杨忠恕/北京联合出版公司/2013-3/39.50元,8,498
金融的逻辑1,陈志武/西北大学出版社/2015-2/58.00,8,359
十年轮回,沈联涛/上海远东/2009-8/38.00元,8.8,250
吴敬琏传,吴晓波/中信出版社/2010-02/39.00元,8.1,1986
压力测试,蒂莫西·F•盖特纳/益智/中信出版社/2015-4-1/58.00元,8.1,189
国民经济学原理,（奥）卡尔・门格尔/刘絜敖/上海人民出版社/2005-05/25.00,9.4,274
蜜蜂的寓言,[荷]伯纳德·曼德维尔（BernardMandeville）/肖聿/中国社会科学出版社/2002-1/32.00元,8.5,225
产权与制度变迁,周其仁/北京大学出版社/2004-09-01/30.00元,8.9,287
