titles,authors,nums,peoples
彼得·林奇的成功投资,[美]彼得·林奇、约翰·罗瑟查尔德/刘建位、徐晓杰/机械工业出版社/2007-1/38.00元,8.7,5026
日本蜡烛图技术,（美）史蒂夫.尼森/丁圣元/地震出版社/1998-05-01/60.00元,8.9,3032
股票作手回忆录,爱德温.李费佛(美)/真如/海南出版社/2008/6/19.80元,8.7,4377
投资中最简单的事,邱国鹭/中国人民大学出版社/2014-10/45.90,8.7,2918
手把手教你读财报,唐朝/中国经济出版社/2015-1-1/CNY49.00,8.7,1487
炒股的智慧,陈江挺/经济科学出版社/2004-1/22.00元,8.9,2127
怎样选择成长股,菲利普.A.费舍/罗耀宗/海南出版社/1999-10/19.80,8.5,1052
股市真规则,帕特·多尔西/中信出版社/2006-1/38.00元,8.9,1057
战胜华尔街,[美]彼得·林奇、约翰·罗瑟查尔德/机械工业出版社/2007-8-1/48.00元,8.4,1884
股市进阶之道,李杰/中国铁道出版社/2014-3/55,8.8,692
专业投机原理,维克托·斯波朗迪/机械工业出版社/2008-3/68.00元,8.6,1130
股票大作手操盘术,杰西·利弗莫尔/丁圣元/企业管理出版社/2003-8-1/20.00元,8.6,1119
公司价值分析,李杰/光明日报出版社/2015-5-1/20.00,9.1,112
证券分析,本杰明·格雷厄姆、戴维·多德/邱巍/海南出版社/2004-1/60.00元,8.8,1679
史丹·温斯坦称傲牛熊市的秘密,史丹·温斯坦/曹乾/中国青年出版社/2008年06月/39.80元,9,687
巴菲特致股东的信,(美)巴菲特(Buffett.W.E.)/陈鑫/机械工业出版社/2004-01/38.00元,8.2,2055
笑傲股市,（美）欧奈尔/宋三江/机械工业出版社/2010-1-1/58.00元,8.6,627
海龟交易法则,柯蒂斯·费思/乔江涛/中信出版社/2007-12/38.00元,8.5,1292
梦想与浮沉,王骥跃、班妮/机械工业出版社/2016-1-1/CNY69.00,8.8,315
漫步华尔街,麦基尔/骆玉鼎、彭晗/机械工业出版社/2008-4/48.00元,8.5,1323
走出幻觉走向成熟,金融帝国/中国经济出版社/2012-7/38.00元,8.4,449
以交易为生,亚历山大·埃尔德/符彩霞/机械工业出版社/2007-3/36.00元,8.3,1032
重剑无锋,小小辛巴/沈阳出版社/2012-5/88,8.7,200
投资者的未来,(美)杰里米J.西格尔(JeremyJ.Siegel)/李月平/机械工业出版社/2007-1/42.00元,8.3,695
股市天才,乔尔·格林布拉特(JoelGreenblatt)/王正林、肖静、王权/中国青年出版社/2011-4-1/32.00元,8.4,241
走进我的交易室,［美］亚历山大·艾尔德/鲍烈/地震出版社/2007-11/68.00元,8.6,495
十年一梦,青泽/企业管理出版社/2006-1/36.00元,8.4,1427
巴菲特的护城河,帕特·多尔西/刘寅龙/广东经济出版社/2009年11月/29.80元,8.6,1083
期货市场技术分析,[美]约翰.墨菲/丁圣元/地震出版社/1994-5-1/80.00元,9.1,1895
股市趋势技术分析,爱德华/中国发展出版社/2004-02-01/68.00元,8,498
股市操练大全,黎航/上海三联书店/1999-11/29.80元,8.2,352
一个证券分析师的醒悟,张化桥/中信出版社/2010-9/30.00元,7.9,1847
教你炒股票,缠中说禅/科学技术文献出版社/2013-10/86.00元,8.9,180
金融市场技术分析,（美）约翰·墨菲/丁圣元/地震出版社/2010-6/80.00元,8.9,432
短线交易大师,奥利弗・瓦莱士、格雷格・卡普拉、张丹丹/张丹丹/地震出版社/2004-5-1/48.00元,8,374
盘口解读技术,克利斯多夫.舒马赫/李书路/广东经济出版社有限公司（广东经济出版社/2006-11/38.00元,7.8,142
通向财务自由之路,范·撒普/董梅/机械工业出版社/2008年/48.00元,8.4,1080
金融怪杰,杰克·施瓦格/韩晓文、和玉虹、李晓民/中国经济出版社/2012-7/36.00元,8.4,245
巴菲特之道,罗伯特·哈格斯特朗/杨天南/机械工业出版社/2015-3-15/59.00,8.5,708
股市稳赚,乔尔·格林布拉特/李佳、卢晓晖/中信出版社/2007-4/18.00元,7.8,517
交易心理分析,马克·道格拉斯/刘真如/电子工业出版社/2011-3/58.00元,8,617
艾略特波浪理论,小罗伯特・鲁格劳特・普莱切特、阿尔弗雷德・约翰・弗罗斯特/陈鑫/机械工业出版社/2003-1-1/38.00元,7.9,567
大投机家,[匈]安德烈·科斯托拉尼/海南出版社/2006-1/30.00元,8.5,623
明明白白看年报,袁克成/机械工业/2009-4/32.00元,8,286
日本蜡烛图技术新解,（美）史蒂夫·尼森（SteveNison）/梁超群，陈辉/机械工业出版社/2011-8/38.00元,8.2,214
股市长线法宝,杰里米J.西格尔/范霁瑶/机械工业出版社/2009-1/48.00元,8.2,269
百箭穿杨,小小辛巴/机械工业出版社/2014-5/49.00,7.7,534
克罗谈投资策略,斯坦利・克罗/刘福寿/中国经济出版社/2003-7-1/15.00元,8,693
约翰.聂夫的成功投资,谢小梅/机械工业出版社/2008-4/38.00元,8.1,342
投机者的扑克,扁虫鱼/机械工业出版社/2010-8/38.00元,8.2,421
投资正途,丁圣元/丁圣元/第2版(2008年11月1日)/2008-11/60,8,189
华尔街幽灵,阿瑟·L.辛普森/张志浩、关磊/中国社会科学出版社/2008-3/38.00元,8.1,648
道氏理论,罗伯特·雷亚/3www/地震出版社/2008-7/30.00元,8.2,302
股票K线战法,史蒂夫·尼森/环宇证券投资顾问公司/宇航出版社/2004-1/35.00元,7.6,207
邓普顿教你逆向投资,劳伦C•邓普顿、斯科特•菲利普斯/杨晓红/中信出版社/2010年10月1日/35.00元,8.2,1025
格雷厄姆投资指南,[美]本杰明·格雷厄姆/王大勇、包文彬/江苏人民出版社/2001-9/17.00元,8,264
手把手教你读财报2,唐朝/中国经济出版社/2017-1-1/56,8.4,169
避开股市的地雷,张化桥/中国人民大学出版社/2010-1/36.00元,7.9,457
证券分析实践,林森池/当代世界出版社/2005-10/38.00元,8.2,375
穿过迷雾,任俊杰/中国经济出版社/2016-10-1/68,8.5,162
股票操作学,张龄松、罗俊（编）/中国大百科全书出版社/1997-1/36.80,7.7,207
金钱游戏,张建军编/地震出版社/2004-4/18.00元,8.5,343
证券分析师的最佳实践指南,詹姆斯J.瓦伦丁/王洋/机械工业出版社/2012-1/78.00元,8.3,216
祖鲁法则,吉姆·斯莱特/刘静/浙江人民出版社/2013-6/45.90元,8.1,194
聪明的投资者,本杰明·格雷厄姆、BenjaminGraham/王中华、黄一义/人民邮电出版社/2010-8/88.00元,9,3056
高级技术分析,布鲁斯·巴布科克/广东经济出版社有限公/2007-7/68.00元,8.1,179
不作不死,顽石/中国发展出版社/2014-11-1/CNY55.00,8.2,134
“快”钱游戏,春晓、马赛客/机械工业出版社/2017-5-1/30.00,8,58
振荡指标MACD,凌波/陕西师范大学出版社/2011-4/35.00元,8.6,116
量价分析,[英]安娜·库林/肖凤娟/中国青年出版社/2016-9-1/49.00,7.4,66
短线交易秘诀,拉里·威廉斯/穆瑞年等/机械工业出版社/2007-1/38.00元,7.7,406
低风险投资之路,徐大为/中国经济出版社/2014-6-1/CNY48.00,7.4,722
小乌龟投资智慧,伍治坚/电子工业出版社/2017-2/59.8元,7.8,178
高频交易员,【美】迈克尔•刘易斯/王飞王宇西陈婧译、郑磊校译/中信出版社/2015-5-1/49.00元,7.8,523
