titles,authors,nums,peoples
影响力,[美]罗伯特·西奥迪尼/陈叙/中国人民大学出版社/2006-5/45.00元,8.6,26052
定位,[美]艾·里斯、杰克·特劳特/王恩冕等/中国财政经济出版社/2002-2/39.80元,8.3,6237
营销管理,[美]菲利普·科特勒、[美]凯文·莱恩·凯勒/梅清豪/上海人民出版社/2006-9/78.00元,9,1673
一个广告人的自白,（美）奥格威/林桦/中国物价出版社/2003-7-1/29.80,8.4,6218
引爆点,[美]马尔科姆·格拉德威尔/钱清、覃爱冬/中信出版社/2009-8/27.00元,7.7,6036
畅销的原理,[爱尔兰]马修·威尔科克斯（MatthewWillcox）/包云波/北京联合出版公司·后浪出版公司/2016-12/45.00元,8.1,266
无价,[美]威廉·庞德斯通/闾佳/华文出版社/2011-1/49.80元,8,2849
消费者行为学 （第8版·中国版）,[美]迈克尔·R.所罗门/卢泰宏、杨晓燕/中国人民大学出版社/2009-7/69.00元,8.1,1402
零售的哲学：7-Eleven便利店创始人自述,[日]铃木敏文/顾晓琳/江苏文艺出版社/2014-12-1/36,8.1,3074
文案创作完全手册,罗伯特•布莱(RobertW.Bly)/刘怡女、袁婧/北京联合出版公司/2013-9-1/CNY45.00,7.8,880
世界上最伟大的推销员,[美]奥格·曼狄诺/安辽/世界知识出版社/2002-8/16.80元,7.9,5902
市场营销原理,（美）菲利普.科特勒（PhilipKotler）等/何志毅等/机械工业出版社/2006-7/58.00元,8.8,487
增长黑客,范冰/电子工业出版社/2015-7-1/CNY59.00,7.8,2418
品牌洗脑,[美]马丁·林斯特龙/赵萌萌/中信出版社/2013-1/45.00元,7.9,2340
上瘾,[美]尼尔·埃亚尔、[美]瑞安·胡佛/钟莉婷、杨晓红/中信出版集团/2017-5/49.00元,7.5,840
参与感,黎万强/中信出版社/2014-8/56.00元,7.5,7429
跨越鸿沟,[美]杰弗里·摩尔(GeoffreyA.Moore)/赵娅/机械工业出版社/2009-1/36.00元,8.4,415
史玉柱自述,优米网/同心出版社/2013-6-1/42.00元,8,3282
