titles,authors,nums,peoples
聪明的投资者,本杰明·格雷厄姆、BenjaminGraham/王中华、黄一义/人民邮电出版社/2010-8/88.00元,9,3055
伟大的博弈,[美]约翰·S.戈登/祁斌/中信出版社/2005-1/39.00元,8.3,10545
投资最重要的事,[美]霍华德·马克斯HowardMarks/李莉、石继志/中信出版社/2012-7/58.00元,8.8,2236
行动的勇气,[美]本·伯南克/蒋宗强/中信出版社/2016-5/78.00元,8.9,506
摩根财团,[美]罗恩·彻诺(RonChernow)/金立群/江苏文艺出版社/2014-4-24/198.00,8.7,519
证券分析,本杰明·格雷厄姆、戴维·多德/邱巍/海南出版社/2004-1/60.00元,8.8,1679
股票作手回忆录,爱德温.李费佛(美)/真如/海南出版社/2008/6/19.80元,8.7,4377
投资中最简单的事,邱国鹭/中国人民大学出版社/2014-10/45.90,8.7,2918
金融炼金术,[美]乔治·索罗斯/孙忠/等/海南出版社/1999-4/24.80元,8.4,2110
货币战争,宋鸿兵编著/中信出版社/2007-6/38.00元,7.2,40347
大而不倒,安德鲁·罗斯·索尔金/巴曙松、陈剑/中国人民大学出版社/2010-9/69.80元,8.4,2240
货币金融学,弗雷德里克·S·米什金/郑艳文/中国人民大学出版社/2006-12/79.00元,8.8,1957
门口的野蛮人,布赖恩·伯勒、约翰·希利亚尔/张振华/机械工业出版社/2010-9/52.00元,8.2,1677
期货市场技术分析,[美]约翰.墨菲/丁圣元/地震出版社/1994-5-1/80.00元,9.1,1895
金融的逻辑,陈志武/国际文化出版公司/2009-08-01/39.80元,7.9,8908
价值评估,蒂姆·科勒/高建、魏平、朱晓龙等/电子工业出版社/2007-2/88.00元,9.1,433
信用创造、货币供求与经济结构,李斌、伍戈/中国金融出版社/2014-12-1/58.00元,9.1,142
公司理财,斯蒂芬A.罗斯/机械工业出版社/2007-1/78.00元,8.8,1304
漫步华尔街,麦基尔/骆玉鼎、彭晗/机械工业出版社/2008-4/48.00元,8.5,1323
说谎者的扑克牌,[美]迈克尔·刘易斯/孙忠/中信出版社/2007-1/35.00元,8.1,2623
红色资本,[美]卡尔·沃尔特(CarlE.Walter)、[美]弗雷泽·豪伊(FraserJ.Howie)/祝捷、刘骏/东方出版中心/2013-8-1/38.00元,8.9,567
大空头,（美）迈克尔•刘易斯/中信出版社/2011-1-20/42.00元,8.3,1855
巴菲特致股东的信,(美)巴菲特(Buffett.W.E.)/陈鑫/机械工业出版社/2004-01/38.00元,8.2,2055
投资银行、对冲基金和私募股权投资,(美)戴维·斯托厄尔/黄嵩、赵鹏/机械工业出版社/2013-4/99.00元,8.7,163
一本书读懂财报,肖星/浙江大学出版社/2014-7-1/35.00元,8.9,2369
穷查理宝典,[美]彼得·考夫曼(编)/李继宏/上海人民出版社/2010-10-01/88.00,9,5724
美国货币史 1867—1960,[美]米尔顿·弗里德曼等、[美]安娜·J.施瓦茨/巴曙松、王劲松等/北京大学出版社/2009-1/78.00元,8.8,592
高盛帝国（上）,[美]查尔斯·埃利斯/卢青、张玲、束宇/中信出版社/2010-1-1/42.00,7.5,1665
彼得·林奇的成功投资,[美]彼得·林奇、约翰·罗瑟查尔德/刘建位、徐晓杰/机械工业出版社/2007-1/38.00元,8.7,5026
通向财务自由之路,范·撒普/董梅/机械工业出版社/2008年/48.00元,8.4,1080
富可敌国,[美]塞巴斯蒂安·马拉比/徐煦/中国人民大学出版社/2011-1/59.80元,8.7,836
策略投资,王成、韦笑/地震出版社/2012-1/80.00元,9,347
怎样选择成长股,菲利普.A.费舍/罗耀宗/海南出版社/1999-10/19.80,8.5,1052
非理性繁荣,(美)罗伯特.J.希勒/廖理/中国人民大学出版社/2004-11/29.00元,8.1,1173
断层线,[美]拉古拉迈·拉詹/刘念、蒋宗强、孙倩、刘开雄/中信出版社/2011-7/49.00元,8.2,777
Margin of Safety,SethA.Klarman/HarperCollins/1991-10/USD27.50,9.1,540
股市真规则,帕特·多尔西/中信出版社/2006-1/38.00元,8.9,1057
期权、期货和其他衍生品（第5版）,（加）约翰.赫尔（JohnC.Hull）/清华大学出版社/2006-3-1/68.00,9,820
公司基本面分析实务,中能兴业/地震/2012-3/35.00元,8.7,323
时运变迁,[美]保罗·沃尔克、[日]行天丰雄/于杰/中信出版社/2016-11-1/CNY68.00,8.5,173
亚洲教父,[美]乔·史塔威尔/史钰军/复旦大学出版社/2011-7/36.00元,8.3,998
投资学,ZviBodie、AlexKane、AlanJ.Marcus/朱宝宪/机械工业出版社/2005-7/89.00元,8.4,1464
钱商,[加]阿瑟·黑利/陆谷孙、张增健、翟象俊/南海出版公司/2015-6/55.00元,8.2,558
投资交易笔记,董德志/经济科学/2011-6/52.00元,8.6,384
专业投机原理,维克托·斯波朗迪/机械工业出版社/2008-3/68.00元,8.6,1130
渐行渐近的金融周期,彭文生/中信出版集团/2017-6/65.00,9,171
中央银行与货币供给,盛松成、翟春/中国金融出版社/2015-4/58.00元,8.8,55
超越金融,乔治·索罗斯/宋嘉/中信出版社/2010-4/28.00元,8.4,1347
经济运行的逻辑,高善文/中国人民大学出版社/2013-5/49.00元,8.5,539
货币、银行信贷与经济周期,[西]赫苏斯·韦尔塔·德索托（J.HuertadeSoto）/葛亚非、刘芳/三辉图书/电子工业出版社/2012-6/80.00元,8.5,114
乱世华尔街,渔阳/中国人民大学出版社/2011-3-2/39.80元,8.8,1373
日本蜡烛图技术,（美）史蒂夫.尼森/丁圣元/地震出版社/1998-05-01/60.00元,8.9,3032
海龟交易法则,柯蒂斯·费思/乔江涛/中信出版社/2007-12/38.00元,8.5,1292
对冲基金风云录,[美]巴顿·比格斯/张桦、王小青/中信出版社/2007-1/42.00元,8.2,2215
货币的教训,周其仁/北京大学出版社/2012-1/36.00元,8.9,685
汉密尔顿,罗恩·彻诺/应韶荃、姚晨辉、齐宛基/上海远东出版社/2011-8/128.00元,9.4,106
金钱有术,知乎/中信出版社/2014-11/42.00元,7.2,1915
随机漫步的傻瓜,纳西姆·尼古拉斯·塔勒布/盛逢时/中信出版社/2012-7/39.00元,8.2,1956
价值投资,布鲁斯·格林威尔/机械工业出版社/2002-1/25,8.9,168
公司财务原理,理查德A.布雷利、斯图尔特C.迈尔斯/方曙红等/机械工业出版社/2004-4-1/108.00元,9.1,163
千年金融史,威廉·戈兹曼/张亚光、熊金武/中信出版集团股份有限公司/2017-5-1/68,8,170
估值,（美）埃斯瓦斯·达莫达兰/李必龙、李羿、郭海/机械工业出版社/2013-6/99.00,8.7,137
战胜华尔街,[美]彼得·林奇、约翰·罗瑟查尔德/机械工业出版社/2007-8-1/48.00元,8.4,1884
机构投资的创新之路,大卫·F·史文森/中国人民大学出版社/2010-3-1/58.00元,8.9,286
金融的本质,【美】伯南克/巴曙松、陈剑/中信出版社/2014-4/58.00,8.1,467
风吹江南之互联网金融,陈宇（江南愤青）/东方出版社/2014-6-1/55元,8.4,481
金融市场技术分析,（美）约翰·墨菲/丁圣元/地震出版社/2010-6/80.00元,8.9,432
A Man for All Markets,EdwardO.Thorp/RandomHouse/2017-1-24/USD30.00,8.6,61
梦想与浮沉,王骥跃、班妮/机械工业出版社/2016-1-1/CNY69.00,8.8,315
3G资本帝国,克里斯蒂娜·柯利娅/王仁荣/北京联合出版公司/2017-6-1/CNY69.90,7.4,396
资本之王,[美]戴维•凯里、[美]约翰•莫里斯/巴曙松/中国人民大学出版社/2011-11-30/59.80元,7.6,1184
逃不开的经济周期,拉斯·特维德/董裕平/中信出版社/2008-11/42.00元,8.3,770
当音乐停止之后,艾伦·布林德/巴曙松、徐小乐/中国人民大学出版社/2014-7-1/79.90元,8.7,271
大衰退,（美）辜朝明/东方出版社/2008/11/01/39.00元,8.3,458
私募股权投资管理,欧阳良宜/北京大学出版社/2013-9/52.00元,9,78
同业鸦片,顽石/中信出版社/2014-1/39.00元,8,999
走出幻觉走向成熟,金融帝国/中国经济出版社/2012-7/38.00元,8.4,449
房债,[美]阿蒂夫·迈恩（AtifMian）、阿米尔·苏非（AmirSufi）/何志强、邢增艺/中信出版社/2015-7/36.00元,8.6,169
荣辱二十年,阚治东/中信出版社/2010-1-1/38.00元,8.2,1412
金融学,(美)博迪、莫顿/伊志宏/中国人民大学出版社/2000-10/50.00元,8.4,792
资本的游戏,房西苑/机械工业出版社/2008-10/70.00元,8.5,409
金融市场与金融机构基础,弗兰克·J·法博齐、弗兰科·莫迪利亚尼、弗兰克·J·琼斯/孔爱国、胡畏、张湄/机械工业出版社/2010-9/79.00元,8.6,168
压力测试,蒂莫西·F•盖特纳/益智/中信出版社/2015-4-1/58.00元,8.1,189
手把手教你读财报,唐朝/中国经济出版社/2015-1-1/CNY49.00,8.7,1487
金融的解释,王福重/中信出版社/2014-11/49.00元,7.5,1170
宽客人生,EmanuelDerman/张戬/中信出版社/2007-7/38.00元,7.9,739
经济为什么会崩溃,〔美〕彼得•D•希夫安德鲁•J•希夫/胡晓姣、吕靖纬/中信出版社/2011-8/39.00元,8.9,1469
邓普顿教你逆向投资,劳伦C•邓普顿、斯科特•菲利普斯/杨晓红/中信出版社/2010年10月1日/35.00元,8.2,1025
投资者的未来,(美)杰里米J.西格尔(JeremyJ.Siegel)/李月平/机械工业出版社/2007-1/42.00元,8.3,695
货币银行学,易纲、吴有昌/吴全昊/上海人民出版社/1999-1/49.00元,8.5,500
股票大作手操盘术,杰西·利弗莫尔/丁圣元/企业管理出版社/2003-8-1/20.00元,8.6,1119
主动投资组合管理,（美）理查德C.格林诺德（RichardC.Grinold）、雷诺德N.卡恩（RonaldN.Kahn）/李腾、杨柯敏、刘震/机械工业出版社/2014-9/100.00,9.3,61
贼巢,斯图尔特/刘天佑/国际文化出版公司/2004-05/48.00元,8.2,450
投资学基础,(澳)科拉多等/白雪、胡波/北京大学出版社/2007-5/76.00元,9.3,83
信贷的逻辑与常识,刘元庆/中信出版集团/2016-12/79.00,8.9,104
中国是部金融史,陈雨露、杨忠恕/北京联合出版公司/2013-3/39.50元,8,498
金融的逻辑1,陈志武/西北大学出版社/2015-2/58.00,8,359
滚雪球（上）,[美]艾丽斯·施罗德/覃扬眉、丁颖颖、张万伟、张春明、张艳云/中信出版社/2009-1/39.00,8,2310
十年轮回,沈联涛/上海远东/2009-8/38.00元,8.8,250
资本的规则,张巍（清澄君）/中国法制出版社/2017-6-1/69.00元,9,112
区块链技术驱动金融,"阿尔文德·纳拉亚南、约什·贝努、爱德华·费尔顿、安德鲁·米勒、史蒂文·戈德费德/林华、王勇/中信出版社,中信出版集团/2016-8-25/CNY79.00",8.3,421
共同基金常识,[美]约翰•博格/巴曙松、吴博/中国人民大学出版社/2011-12/88.00元,8.2,120
还原真实的美联储,王健/浙江大学出版社/2013-11-10/38.00,8.5,820
峭壁边缘,亨利·保尔森/乔万涛/中信出版社/2010-4/49.00元,7.9,689
并购之王,丹尼斯J.罗伯茨/唐京燕、秦丹萍/机械工业出版社/2014-4-29/CNY78.00,8,153
诚信的背后,弗兰克·帕特诺伊/邵琰/当代中国出版社/2005-10/30.00元,8.1,1172
对冲基金奇才,（美）杰克•施瓦格（JackD.Schwager）/何澍鑫、刘姝君、徐君岭/机械工业出版社/2013-5/69.00元,8.9,126
金融时间序列分析,RueyS.Tsay/王辉、潘家柱/人民邮电出版社/2009-6-1/79.00元,9,129
我为什么离开高盛,格雷格·史密斯/湖南科学技术出版社/2014-7-25/48.00,7.9,240
宽客,[美]斯科特•帕特森/卢开济、译科/中国人民大学出版社/2011-7/56.00元,8.1,755
支付战争,埃里克•杰克逊/徐彬、王晓、清华大学五道口金融学院未央研究审译/中信出版社/2015-5-19/49.00,8.1,1484
大投机家,[匈]安德烈·科斯托拉尼/海南出版社/2006-1/30.00元,8.5,623
镜厅,[美]巴里·埃森格林、BarryEichengreen/何帆/中信出版社/2016-9/68,8.3,63
金融心理学,拉斯·特维德/周为群/中国人民大学出版社/2003-11/29.00元,7.8,1071
金融街,梁成/中信出版集团/2017-2/48.00,7.9,309
投资异类,王利杰/北京联合出版公司/2017-6-1/59.90,8.2,233
金融随机分析（共2册）,史蒂文E.施里夫/陈启宏、陈迪华/上海财经大学出版社/2008-10/72.00元,9.7,131
债务和魔鬼,阿代尔·特纳勋爵/王胜邦、徐惊蛰、朱元倩/中信出版社/2016-4-5/59.00,8.2,109
财务报表分析,马丁·弗里德森(MartinFridson)、费尔南多·阿尔瓦雷斯(FernandoAlvarez)/朱丽/中国人民大学出版社/2010-3/35.00元,8.5,125
价值起源,威廉·N·戈兹曼、K·哥特·罗文霍斯特/王宇、王文玉/万卷出版公司/2010-7/68.00元,8.3,338
白银帝国,徐瑾/中信出版社/2017-2-1/CNY59.00,7.5,201
投资交易笔记（续）,董德志/经济科学出版社/2016-9-1/CNY50.00,8.8,80
巴菲特传,RogerLowenstein/蒋旭峰、王丽萍/中信出版社/2008-9/49.00元,8.2,1976
公司金融理论（上下册）,让·梯若尔/王永钦/中国人民大学出版社/2007-12/102.00元,9.4,53
一个证券分析师的醒悟,张化桥/中信出版社/2010-9/30.00元,7.9,1847
金融之王,[美]利雅卡特•艾哈迈德/巴曙松、李胜利/中国人民大学出版社/2011-5-1/62.00元,7.9,507
货币战争2:金权天下,宋鸿兵/中华工商联合出版社/2009-08-01/39.00元,7.2,5717
中国巨债,刘海影/中信出版社/2014-10/58.00元,8.2,160
史上最伟大的交易,[美]格里高利•祖克曼/施轶/中国人民大学出版社/2010-7-1/49.80元,8,345
股权战争,苏龙飞/北京大学出版社/2012-11/45.00元,8.5,560
华尔街幽灵,阿瑟·L.辛普森/张志浩、关磊/中国社会科学出版社/2008-3/38.00元,8.1,648
高频交易员,【美】迈克尔•刘易斯/王飞王宇西陈婧译、郑磊校译/中信出版社/2015-5-1/49.00元,7.8,523
十年一梦,青泽/企业管理出版社/2006-1/36.00元,8.4,1427
金融是本故事书,许敬、中国基金博物馆策划整理/后浪出版公司·鹭江出版社/2016-5/36.00元,8,143
以交易为生,亚历山大·埃尔德/符彩霞/机械工业出版社/2007-3/36.00元,8.3,1032
货币数量、利率调控与政策转型,伍戈、李斌/中国金融出版社/2016-1-29/CNY69.00,9.1,49
财务模型与估值,PaulPignataro/刘振山、张鲁晶/机械工业出版社/2014-10-17/68.00元,8.5,70
财务报表分析,黄世忠/中国财政经济出版社/2007-2-1/70.00元,9.1,321
大银行家,马丁・迈耶/何自云/海南出版社/2000-1/29.80,8.3,24
数字黄金,【美】纳撒尼尔•波普尔/艾博/中国人民大学出版社/2017-3/56,8.1,133
从资本家手中拯救资本主义,拉古拉迈・拉詹等/余江/中信出版社/2004-08/30.00元,9,177
Python金融大数据分析,[德]伊夫·希尔皮斯科/姚军/人民邮电出版社/2015-12/CNY99.00,7.6,74
金钱永不眠,香帅无花(唐涯)/中信出版集团/2017-3-1/CNY48.00,7.5,290
赌金者,罗格.洛温斯坦/孟立慧/上海远东/2006-07-01/35.00元,8.5,469
财务金融建模,西蒙·本尼卡/邵建利/格致出版社/2010-11/96.00元,8.7,53
克罗谈投资策略,斯坦利・克罗/刘福寿/中国经济出版社/2003-7-1/15.00元,8,693
我在高盛的经济预测法,[美]约瑟夫H.埃利斯/任曙明等/机械工业出版社/2011-6/39.00元,7.6,208
门口的野蛮人2,（美）乔治•安德斯/胡震晨/机械工业出版社/2012-12/50.00元,8.4,143
有效资产管理,威廉•伯恩斯坦(WilliamJ.Bernste)/王红夏、张皓晨/机械工业出版社/2013-1/39.00元,8.4,134
半路出家的投资银行家,(美)乔纳森·尼/贝多广叶扬覃扬眉/中信出版社/2008年/38.00元,8,441
渐行渐远的红利,彭文生/社会科学文献出版社/2013-4-1/58.00元,8.9,297
利率史,（美）悉尼·霍默、（美）理查德·西勒/中信出版社/2010/92.00元,7.6,127
动荡的世界,[美]艾伦•格林斯潘/余江/中信出版社/2013-12/65.00元,7.7,397
稳定不稳定的经济,海曼·P.明斯基/清华大学出版社/2010-1/49.00元,8.7,81
投资银行,乔舒亚·罗森鲍姆、乔舒·亚珀尔/刘振山、曹建海、注册估值分析师协会/机械工业出版社/2014-9-1/99.00元,8.8,68
中国证券市场批判,袁剑/中国社会科学出版社/2004-12/26.00元,8.7,568
笑傲股市,（美）欧奈尔/宋三江/机械工业出版社/2010-1-1/58.00元,8.6,627
黑石的起点，我的顶点,[美]彼得·彼得森/施轶/万卷出版公司/2011-4/56.00元,7.7,538
Der Hass auf den Westen,JeanZiegler/HainerKober/C.BertelsmannVerlag/2009-9-1/GBP16.73,9.6,56
不落俗套的成功,大卫·F·斯文森/武倩/中国青年出版社/2009-4-1/36.00元,7.6,181
金融与好的社会,罗伯特·希勒/束宇/中信出版社/2012-12-5/75.00元,7.7,348
鲍尔货币金融学,劳伦斯·鲍尔/刘静、何源/中国人民大学出版社/2012-2/79.80元,9.4,38
见证失衡,余永定/生活·读书·新知三联书店/2010-6/36.00元,8.8,69
银行的秘密,默里·罗斯巴德/李文浩钟帅等译、杨农审校/清华大学出版社/2011-9/52.00元,8.7,220
金融怪杰,杰克·施瓦格/韩晓文、和玉虹、李晓民/中国经济出版社/2012-7/36.00元,8.4,245
花旗帝国,（美）莫尼卡•兰利/刘晶晶/中信出版社/2005-01/38.00,7.9,335
Efficiently Inefficient,LasseHejePedersen/PrincetonUniversityPress/2015-4-13/USD46.95,8.9,30
交易心理分析,马克·道格拉斯/刘真如/电子工业出版社/2011-3/58.00元,8,617
金融求职宝典：玩转金融业的正确姿势,金融小伙伴/中国市场出版社/2016-9-30/39.80元,9.2,208
量化投资策略,理查德·托托里罗/上海交通大学出版社/2013-5/98.00元,7.6,82
企业上市审核标准实证解析,张兰田/北京大学/2011-1/48.00元,9.3,65
商业冒险,[美]约翰·布鲁克斯/李晟、陈然、段歆玥/北京联合出版公司/2015-5-10/59.80元,7.1,502
Black Edge,SheelahKolhatkar/RandomHouse/2017-2-7/USD28.00,9,39
力挽狂澜：保罗•沃尔克和他改变的金融世界,【美】威廉·西尔伯(WilliamSilber)/綦相、刘丽娜/上海财经大学出版社/2013-9/68.00元,8.6,127
风险投资交易,[美]布拉德·菲尔德、[美]杰森·门德尔松/桂曙光/机械工业出版社/2014-8/49.00元,9.2,69
24堂财富课,陈志武/当代中国出版社/2009年/25.00元,7.9,1645
亲历投行,班妮/中国法制出版社/2013-10-10/38.00,7.3,975
债,[美]大卫·格雷伯/董子云、孙碳/中信出版社/2012-11/69.00元,8.3,156
证券分析师的最佳实践指南,詹姆斯J.瓦伦丁/王洋/机械工业出版社/2012-1/78.00元,8.3,216
